time,open,high,low,close,"Pattern Alert",Volume
1536258600,0.94946,0.94946,0.94564,0.9458,0,0
1536258900,0.9458,0.94681,0.94572,0.94615,0,0
1536259200,0.94615,0.94651,0.94599,0.94646,0,0
1536259500,0.94646,0.94696,0.94646,0.94677,0,0
1536259800,0.94677,0.94691,0.94649,0.94655,0,0
1536260100,0.94655,0.9466,0.94563,0.946,0,0
1536260400,0.946,0.94638,0.94599,0.94631,0,0
1536260700,0.94631,0.94642,0.94623,0.94628,0,0
1536261000,0.94628,0.94628,0.94592,0.94603,0,0
1536261300,0.94603,0.94615,0.94598,0.94605,0,0
1536261600,0.94605,0.94632,0.94597,0.94625,0,0
1536261900,0.94625,0.94649,0.94625,0.94632,0,0
1536262200,0.94632,0.94639,0.94598,0.94609,0,0
1536262500,0.94609,0.9462,0.94592,0.94608,0,0
1536262800,0.94608,0.9461,0.94557,0.94566,0,0
1536263100,0.94566,0.94595,0.94565,0.94581,0,0
1536263400,0.94581,0.94592,0.94568,0.94583,0,0
1536263700,0.94583,0.94624,0.94583,0.94608,0,0
1536264000,0.94608,0.94671,0.94605,0.94651,0,0
1536264300,0.94651,0.94652,0.94595,0.9461,0,0
1536264600,0.9461,0.94636,0.94598,0.94598,0,0
1536264900,0.94598,0.94616,0.94597,0.94611,0,0
1536265200,0.94611,0.94613,0.94578,0.94593,0,0
1536265500,0.94593,0.94597,0.94554,0.94567,0,0
1536265800,0.94567,0.94567,0.94526,0.94538,0,0
1536266100,0.94538,0.94572,0.94533,0.94572,0,0
1536266400,0.94572,0.94578,0.94557,0.94569,0,0
1536266700,0.94569,0.94595,0.94559,0.94588,0,0
1536267000,0.94588,0.94595,0.94585,0.9459,0,0
1536267300,0.9459,0.94622,0.94545,0.9456,0,0
1536267600,0.9456,0.94575,0.94552,0.94572,0,0
1536267900,0.94572,0.94589,0.94499,0.94547,0,0
1536268200,0.94547,0.94597,0.94524,0.94563,0,0
1536268500,0.94563,0.94563,0.94505,0.9452,0,0
1536268800,0.9452,0.94547,0.94517,0.94544,0,0
1536269100,0.94544,0.94544,0.94523,0.94542,0,0
1536269400,0.94542,0.94548,0.94533,0.94542,0,0
1536269700,0.94542,0.94564,0.94536,0.94563,0,0
1536270000,0.94563,0.94572,0.9456,0.94561,0,0
1536270300,0.94561,0.94574,0.9456,0.94572,0,0
1536270600,0.94572,0.94582,0.94554,0.94582,0,0
1536270900,0.94582,0.94591,0.94574,0.94585,0,0
1536271200,0.94585,0.94633,0.94582,0.94618,0,0
1536271500,0.94618,0.94634,0.94615,0.94633,0,0
1536271800,0.94633,0.94649,0.94631,0.94649,0,0
1536272100,0.94649,0.94655,0.94637,0.94649,0,0
1536272400,0.94649,0.94665,0.94641,0.9466,0,0
1536272700,0.9466,0.94682,0.9466,0.9467,0,0
1536273000,0.9467,0.94685,0.94661,0.94681,0,0
1536273300,0.94681,0.94692,0.94665,0.94665,0,0
1536273600,0.94665,0.94698,0.94665,0.94689,0,0
1536273900,0.94689,0.94692,0.94685,0.94689,0,0
1536274200,0.94689,0.94691,0.94684,0.94684,0,0
1536274500,0.94684,0.94685,0.9467,0.94671,0,0
1536274800,0.94671,0.94696,0.94666,0.9469,0,0
1536275100,0.9469,0.94697,0.94671,0.94674,0,0
1536275400,0.94674,0.94683,0.9465,0.94657,0,0
1536275700,0.94657,0.94659,0.94623,0.94626,0,0
1536276000,0.94626,0.94626,0.94592,0.94602,0,0
1536276300,0.94602,0.94602,0.94576,0.94583,0,0
1536276600,0.94583,0.94587,0.94576,0.94585,0,0
1536276900,0.94585,0.946,0.9458,0.94587,0,0
1536277200,0.94587,0.946,0.94581,0.94592,0,0
1536277500,0.94592,0.9463,0.94591,0.9463,0,0
1536277800,0.9463,0.94631,0.94593,0.94606,0,0
1536278100,0.94606,0.94613,0.94576,0.94578,0,0
1536278400,0.94578,0.94584,0.94545,0.9455,0,0
1536278700,0.9455,0.94581,0.94509,0.94519,0,0
1536279000,0.94519,0.94547,0.94502,0.94527,0,0
1536279300,0.94527,0.94527,0.94471,0.94473,0,0
1536279600,0.94473,0.94547,0.94462,0.94527,0,0
1536279900,0.94527,0.94542,0.9452,0.94534,0,0
1536280200,0.94534,0.94536,0.94488,0.94499,0,0
1536280500,0.94499,0.94513,0.94488,0.94488,0,0
1536280800,0.94488,0.94517,0.94481,0.94511,0,0
1536281100,0.94511,0.94542,0.94511,0.94532,0,0
1536281400,0.94532,0.94539,0.94522,0.94538,0,0
