time,open,high,low,close,"Pattern Alert",Volume
1528482600,0.74862,0.74866,0.74851,0.74853,0,0
1528482900,0.74853,0.74864,0.74844,0.74859,0,0
1528483200,0.74859,0.74863,0.74849,0.74849,0,0
1528483500,0.74849,0.74869,0.74846,0.74866,0,0
1528483800,0.74866,0.74881,0.74863,0.74866,0,0
1528484100,0.74866,0.74872,0.74858,0.74866,0,0
1528484400,0.74866,0.74877,0.7486,0.74873,0,0
1528484700,0.74873,0.74875,0.74866,0.74871,0,0
1528485000,0.74871,0.7488,0.74865,0.74876,0,0
1528485300,0.74876,0.74886,0.74869,0.74873,0,0
1528485600,0.74873,0.74904,0.74871,0.74877,0,0
1528485900,0.74877,0.74878,0.74874,0.74875,0,0
1528486200,0.74875,0.74886,0.74864,0.7488,0,0
1528486500,0.7488,0.74891,0.74877,0.74891,0,0
1528486800,0.74891,0.74903,0.7489,0.74903,0,0
1528487100,0.74903,0.74903,0.74848,0.74852,0,0
1528487400,0.74852,0.74869,0.74852,0.74858,0,0
1528487700,0.74858,0.74858,0.74838,0.74838,0,0
1528488000,0.74838,0.74841,0.74816,0.74827,0,0
1528488300,0.74827,0.74841,0.74809,0.74829,0,0
1528488600,0.74829,0.74832,0.74822,0.7483,0,0
1528488900,0.7483,0.74853,0.74827,0.74851,0,0
1528489200,0.74851,0.74854,0.74826,0.74826,0,0
1528489500,0.74826,0.74837,0.74826,0.74837,0,0
1528489800,0.74837,0.74837,0.74809,0.74809,0,0
1528490100,0.74809,0.74825,0.74809,0.74824,0,0
1528490400,0.74824,0.74825,0.74799,0.74801,0,0
1528490700,0.74801,0.74808,0.74787,0.74789,0,0
1528491000,0.74789,0.74821,0.74778,0.7481,0,0
1528491300,0.7481,0.74814,0.748,0.74807,0,0
