time,open,high,low,close,"Pattern Alert",Volume
1525372200,82.225,82.281,82.225,82.276,0,0
1525372500,82.276,82.338,82.266,82.334,0,0
1525372800,82.334,82.358,82.306,82.306,0,0
1525373100,82.306,82.306,82.231,82.243,0,0
1525373400,82.243,82.26,82.221,82.252,0,0
1525373700,82.252,82.265,82.229,82.233,0,0
1525374000,82.233,82.248,82.222,82.223,0,0
1525374300,82.223,82.233,82.202,82.202,0,0
1525374600,82.202,82.263,82.201,82.256,0,0
1525374900,82.256,82.26,82.202,82.209,0,0
1525375200,82.209,82.216,82.191,82.206,0,0
1525375500,82.206,82.22,82.19,82.215,0,0
1525375800,82.215,82.243,82.214,82.231,0,0
1525376100,82.231,82.233,82.183,82.188,0,0
1525376400,82.188,82.194,82.171,82.182,0,0
1525376700,82.182,82.206,82.18,82.197,0,0
1525377000,82.197,82.21,82.185,82.185,0,0
1525377300,82.185,82.207,82.167,82.202,0,0
1525377600,82.202,82.224,82.199,82.217,0,0
1525377900,82.217,82.231,82.215,82.23,0,0
1525378200,82.23,82.242,82.23,82.238,0,0
1525378500,82.238,82.24,82.215,82.221,0,0
1525378800,82.221,82.224,82.215,82.215,0,0
1525379100,82.215,82.236,82.211,82.227,0,0
1525379400,82.227,82.235,82.221,82.224,0,0
1525379700,82.224,82.241,82.222,82.226,0,0
1525380000,82.226,82.231,82.217,82.218,0,0
1525380300,82.218,82.218,82.202,82.203,0,0
1525380600,82.203,82.218,82.202,82.216,0,0
1525380900,82.216,82.239,82.212,82.231,0,0
1525381200,82.231,82.231,82.221,82.221,0,0
1525381500,82.221,82.228,82.219,82.22,0,0
1525381800,82.22,82.244,82.219,82.228,0,0
1525382100,82.228,82.251,82.217,82.229,0,0
1525382400,82.229,82.236,82.214,82.22,0,0
1525382700,82.22,82.238,82.217,82.22,0,0
1525383000,82.22,82.22,82.212,82.215,0,0
1525383300,82.215,82.23,82.195,82.203,0,0
1525383600,82.203,82.215,82.194,82.207,0,0
1525383900,82.207,82.212,82.203,82.203,0,0
1525384200,82.203,82.208,82.202,82.206,0,0
1525384500,82.206,82.218,82.205,82.214,0,0
1525384800,82.214,82.235,82.212,82.228,0,0
1525385100,82.228,82.231,82.217,82.229,0,0
1525385400,82.229,82.246,82.229,82.232,0,0
1525385700,82.232,82.232,82.223,82.231,0,0
1525386000,82.231,82.236,82.223,82.236,0,0
1525386300,82.236,82.24,82.225,82.24,0,0
1525386600,82.24,82.241,82.225,82.225,0,0
1525386900,82.225,82.225,82.212,82.216,0,0
1525387200,82.216,82.217,82.212,82.215,0,0
1525387500,82.215,82.215,82.206,82.209,0,0
1525387800,82.209,82.21,82.19,82.191,0,0
1525388100,82.191,82.194,82.186,82.186,0,0
1525388400,82.186,82.198,82.186,82.194,0,0
1525388700,82.194,82.197,82.18,82.181,0,0
1525389000,82.181,82.193,82.18,82.182,0,0
1525389300,82.182,82.185,82.175,82.177,0,0
1525389600,82.177,82.18,82.148,82.15,0,0
1525389900,82.15,82.164,82.146,82.16,0,0
1525390200,82.16,82.186,82.16,82.167,0,0
1525390500,82.167,82.174,82.147,82.147,0,0
1525390800,82.147,82.176,82.145,82.163,0,0
1525391100,82.163,82.173,82.152,82.167,0,0
1525391400,82.167,82.177,82.157,82.168,0,0
1525391700,82.168,82.17,82.115,82.136,0,0
1525392000,82.136,82.163,82.124,82.137,0,0
1525392300,82.137,82.189,82.137,82.187,0,0
1525392600,82.187,82.204,82.166,82.204,0,0
