time,open,high,low,close,"Pattern Alert",Volume
1523989800,0.77745,0.77762,0.77737,0.77737,0,0
1523990100,0.77737,0.77737,0.7772,0.7773,0,0
1523990400,0.7773,0.77737,0.77721,0.77725,0,0
1523990700,0.77725,0.77728,0.77693,0.77697,0,0
1523991000,0.77697,0.77705,0.77684,0.77689,0,0
1523991300,0.77689,0.77702,0.7768,0.77686,0,0
1523991600,0.77686,0.77704,0.7768,0.77695,0,0
1523991900,0.77695,0.77716,0.77694,0.77706,0,0
1523992200,0.77706,0.77711,0.77693,0.77696,0,0
1523992500,0.77696,0.77706,0.77693,0.77699,0,0
1523992800,0.77699,0.77711,0.77696,0.77696,0,0
1523993100,0.77696,0.77716,0.77699,0.77716,0,0
1523993400,0.77716,0.7772,0.777,0.77712,0,0
1523993700,0.77712,0.77724,0.77706,0.77708,0,0
1523994000,0.77708,0.77717,0.77708,0.77712,0,0
1523994300,0.77712,0.77716,0.77701,0.77702,0,0
1523994600,0.77702,0.77705,0.77677,0.7768,0,0
1523994900,0.7768,0.77694,0.77669,0.77694,0,0
1523995200,0.77694,0.77702,0.77688,0.77694,0,0
1523995500,0.77694,0.77706,0.7769,0.77696,0,0
1523995800,0.77696,0.7771,0.77694,0.7771,0,0
1523996100,0.7771,0.7772,0.77711,0.77712,0,0
1523996400,0.77712,0.7772,0.77712,0.77718,0,0
1523996700,0.77718,0.77718,0.77718,0.77718,0,0
1523997000,0.77718,0.77722,0.77716,0.7772,0,0
1523997300,0.7772,0.77721,0.77712,0.77718,0,0
1523997600,0.77718,0.77722,0.77714,0.77714,0,0
1523997900,0.77714,0.77714,0.77707,0.7771,0,0
1523998200,0.7771,0.77708,0.77701,0.77705,0,0
1523998500,0.77705,0.77706,0.77674,0.77674,0,0
1523998800,0.77674,0.77725,0.77674,0.77712,0,0
1523999100,0.77712,0.77742,0.7771,0.77742,0,0
1523999400,0.77742,0.77733,0.77722,0.77725,0,0
1523999700,0.77725,0.77724,0.77712,0.77714,0,0
1524000000,0.77714,0.77712,0.7771,0.77712,0,0
1524000300,0.77712,0.77716,0.77708,0.77716,0,0
1524000600,0.77716,0.77718,0.77677,0.77694,0,0
1524000900,0.77694,0.77729,0.77679,0.77681,0,0
1524001200,0.77681,0.7773,0.77664,0.7769,0,0
1524001500,0.7769,0.77696,0.77681,0.77696,0,0
1524001800,0.77696,0.77707,0.77683,0.77683,0,0
1524002100,0.77683,0.77697,0.77683,0.77694,0,0
1524002400,0.77694,0.77705,0.77698,0.77705,0,0
1524002700,0.77705,0.77724,0.77712,0.77723,0,0
1524003000,0.77723,0.77736,0.77722,0.77726,0,0
1524003300,0.77726,0.77728,0.77728,0.77728,0,0
1524003600,0.77728,0.77728,0.77728,0.77728,0,0
1524003900,0.77728,0.77728,0.77703,0.77704,0,0
1524004200,0.77704,0.77704,0.77694,0.77695,0,0
1524004500,0.77695,0.77702,0.77695,0.77702,0,0
1524004800,0.77702,0.77702,0.77693,0.77693,0,0
1524005100,0.77693,0.77702,0.77692,0.77702,0,0
1524005400,0.77702,0.77709,0.77702,0.77706,0,0
1524005700,0.77706,0.77702,0.77691,0.777,0,0
1524006000,0.777,0.77702,0.777,0.77701,0,0
1524006300,0.77701,0.77701,0.77688,0.77688,0,0
1524006600,0.77688,0.77693,0.7768,0.7768,0,0
1524006900,0.7768,0.77685,0.7767,0.7767,0,0
1524007200,0.7767,0.77688,0.77672,0.77677,0,0
1524007500,0.77677,0.77677,0.7767,0.77672,0,0
1524007800,0.77672,0.77679,0.77665,0.77679,0,0
1524008100,0.77679,0.7768,0.77674,0.77678,0,0
1524008400,0.77678,0.77681,0.77672,0.77681,0,0
1524008700,0.77681,0.77681,0.77674,0.77678,0,0
1524009000,0.77678,0.77678,0.7767,0.7767,0,0
1524009300,0.7767,0.77671,0.77663,0.77671,0,0
1524009600,0.77671,0.77694,0.7767,0.77694,0,0
1524009900,0.77694,0.77709,0.77688,0.77704,0,0
1524010200,0.77704,0.77704,0.77701,0.77701,0,0
1524010500,0.77701,0.777,0.77691,0.77698,0,0
1524010800,0.77698,0.77692,0.77674,0.77678,0,0
1524011100,0.77678,0.77692,0.77677,0.7768,0,0
1524011400,0.7768,0.7769,0.77674,0.77677,0,0
1524011700,0.77677,0.77682,0.77646,0.77652,0,0
1524012000,0.77652,0.77672,0.77658,0.7767,0,0
1524012300,0.7767,0.7767,0.77642,0.7765,0,0
