time,open,high,low,close,"Pattern Alert",Volume
1530815400,84.193,84.199,84.181,84.196,0,0
1530815700,84.196,84.201,84.177,84.19,0,0
1530816000,84.19,84.191,84.164,84.174,0,0
1530816300,84.174,84.203,84.174,84.187,0,0
1530816600,84.187,84.214,84.173,84.211,0,0
1530816900,84.211,84.216,84.187,84.192,0,0
1530817200,84.192,84.228,84.186,84.219,0,0
1530817500,84.219,84.234,84.212,84.229,0,0
1530817800,84.229,84.231,84.191,84.207,0,0
1530818100,84.207,84.215,84.194,84.207,0,0
1530818400,84.207,84.213,84.19,84.213,0,0
1530818700,84.213,84.217,84.199,84.212,0,0
1530819000,84.212,84.246,84.204,84.245,0,0
1530819300,84.245,84.249,84.218,84.225,0,0
1530819600,84.225,84.247,84.224,84.231,0,0
1530819900,84.231,84.247,84.226,84.244,0,0
1530820200,84.244,84.267,84.244,84.257,0,0
1530820500,84.257,84.257,84.231,84.241,0,0
1530820800,84.241,84.258,84.22,84.245,0,0
1530821100,84.245,84.262,84.229,84.232,0,0
1530821400,84.232,84.25,84.227,84.235,0,0
1530821700,84.235,84.24,84.22,84.223,0,0
1530822000,84.223,84.224,84.207,84.208,0,0
1530822300,84.208,84.208,84.193,84.197,0,0
1530822600,84.197,84.218,84.197,84.208,0,0
1530822900,84.208,84.221,84.197,84.201,0,0
1530823200,84.201,84.216,84.199,84.211,0,0
1530823500,84.211,84.222,84.201,84.222,0,0
1530823800,84.222,84.241,84.218,84.237,0,0
1530824100,84.237,84.255,84.229,84.229,0,0
1530824400,84.229,84.229,84.14,84.204,0,0
1530824700,84.204,84.214,84.197,84.208,0,0
1530825000,84.208,84.237,84.2,84.228,0,0
1530825300,84.228,84.254,84.224,84.24,0,0
1530825600,84.24,84.24,84.223,84.226,0,0
1530825900,84.226,84.245,84.223,84.232,0,0
1530826200,84.232,84.233,84.219,84.224,0,0
1530826500,84.224,84.234,84.208,84.226,0,0
1530826800,84.226,84.23,84.217,84.226,0,0
1530827100,84.226,84.239,84.222,84.238,0,0
1530827400,84.238,84.241,84.214,84.221,0,0
1530827700,84.221,84.23,84.144,84.227,0,0
1530828000,84.227,84.25,84.177,84.247,0,0
1530828300,84.247,84.264,84.237,84.24,0,0
1530828600,84.24,84.257,84.237,84.246,0,0
1530828900,84.246,84.246,84.237,84.241,0,0
1530829200,84.241,84.248,84.239,84.244,0,0
1530829500,84.244,84.25,84.234,84.234,0,0
1530829800,84.234,84.243,84.233,84.236,0,0
1530830100,84.236,84.246,84.229,84.233,0,0
1530830400,84.233,84.236,84.225,84.228,0,0
1530830700,84.228,84.244,84.235,84.24,0,0
1530831000,84.24,84.245,84.233,84.239,0,0
1530831300,84.239,84.243,84.239,84.243,0,0
1530831600,84.243,84.247,84.242,84.245,0,0
