time,open,high,low,close,"Pattern Alert",Volume
1537209000,116.328,116.333,116.316,116.33,0,0
1537209300,116.33,116.334,116.325,116.329,0,0
1537209600,116.329,116.332,116.311,116.312,0,0
1537209900,116.312,116.32,116.311,116.312,0,0
1537210200,116.312,116.316,116.298,116.299,0,0
1537210500,116.299,116.304,116.231,116.239,0,0
1537210800,116.239,116.263,116.233,116.233,0,0
1537211100,116.233,116.254,116.23,116.23,0,0
1537211400,116.23,116.256,116.217,116.224,0,0
1537211700,116.224,116.25,116.215,116.225,0,0
1537212000,116.225,116.225,116.175,116.189,0,0
1537212300,116.189,116.26,116.187,116.258,0,0
1537212600,116.258,116.272,116.241,116.25,0,0
1537212900,116.25,116.252,116.234,116.236,0,0
1537213200,116.236,116.247,116.224,116.225,0,0
1537213500,116.225,116.262,116.224,116.259,0,0
1537213800,116.259,116.259,116.235,116.235,0,0
1537214100,116.235,116.249,116.221,116.246,0,0
1537214400,116.246,116.27,116.242,116.257,0,0
1537214700,116.257,116.26,116.215,116.221,0,0
1537215000,116.221,116.235,116.207,116.235,0,0
1537215300,116.235,116.237,116.224,116.224,0,0
1537215600,116.224,116.253,116.224,116.253,0,0
1537215900,116.253,116.273,116.253,116.273,0,0
1537216200,116.273,116.274,116.256,116.256,0,0
1537216500,116.256,116.266,116.255,116.255,0,0
1537216800,116.255,116.275,116.255,116.269,0,0
1537217100,116.269,116.27,116.245,116.248,0,0
1537217400,116.248,116.275,116.24,116.243,0,0
1537217700,116.243,116.246,116.161,116.175,0,0
1537218000,116.175,116.181,116.155,116.174,0,0
1537218300,116.174,116.2,116.174,116.19,0,0
1537218600,116.19,116.196,116.182,116.195,0,0
1537218900,116.195,116.196,116.169,116.188,0,0
1537219200,116.188,116.209,116.184,116.189,0,0
1537219500,116.189,116.207,116.183,116.188,0,0
1537219800,116.188,116.191,116.094,116.154,0,0
1537220100,116.154,116.201,116.14,116.172,0,0
1537220400,116.172,116.201,116.169,116.196,0,0
1537220700,116.196,116.2055,116.176,116.186,0,0
1537221000,116.186,116.194,116.1655,116.1905,0,0
1537221300,116.1905,116.2075,116.183,116.191,0,0
1537221600,116.191,116.194,116.1215,116.171,0,0
1537221900,116.171,116.1965,116.151,116.191,0,0
1537222200,116.191,116.2155,116.189,116.202,0,0
1537222500,116.202,116.214,116.188,116.19,0,0
1537222800,116.19,116.201,116.173,116.183,0,0
1537223100,116.183,116.191,116.171,116.189,0,0
1537223400,116.189,116.22,116.189,116.209,0,0
1537223700,116.209,116.211,116.092,116.131,0,0
1537224000,116.131,116.178,116.114,116.134,0,0
1537224300,116.134,116.161,116.119,116.119,0,0
1537224600,116.119,116.129,116.054,116.095,0,0
1537224900,116.095,116.098,116.006,116.011,0,0
1537225200,116.011,116.062,116.011,116.035,0,0
1537225500,116.035,116.052,116.02,116.042,0,0
1537225800,116.042,116.045,116.018,116.03,0,0
1537226100,116.03,116.031,116.012,116.017,0,0
1537226400,116.017,116.029,116.009,116.011,0,0
1537226700,116.011,116.014,115.977,115.987,0,0
1537227000,115.987,116.014,115.977,115.991,0,0
1537227300,115.991,116.037,115.991,116.026,0,0
1537227600,116.026,116.031,116.009,116.011,0,0
1537227900,116.011,116.016,115.989,116.012,0,0
1537228200,116.012,116.012,115.996,116.005,0,0
1537228500,116.005,116.03,116.003,116.011,0,0
1537228800,116.011,116.072,115.988,116.065,0,0
1537229100,116.065,116.094,116.057,116.094,0,0
1537229400,116.094,116.094,116.06,116.075,0,0
1537229700,116.075,116.103,116.061,116.102,0,0
1537230000,116.102,116.15,116.093,116.149,0,0
1537230300,116.149,116.157,116.133,116.153,0,0
1537230600,116.153,116.162,116.14,116.147,0,0
1537230900,116.147,116.147,116.106,116.118,0,0
1537231200,116.118,116.124,116.096,116.114,0,0
1537231500,116.114,116.126,116.1,116.109,0,0
1537231800,116.109,116.131,116.087,116.09,0,0
1537232100,116.09,116.11,116.077,116.091,0,0
1537232400,116.091,116.092,116.052,116.081,0,0
1537232700,116.081,116.12,116.073,116.102,0,0
1537233000,116.102,116.141,116.096,116.122,0,0
1537233300,116.122,116.125,116.096,116.124,0,0
1537233600,116.124,116.137,116.114,116.12,0,0
1537233900,116.12,116.121,116.071,116.089,0,0
1537234200,116.089,116.175,116.084,116.171,0,0
1537234500,116.171,116.244,116.169,116.207,0,0
1537234800,116.207,116.223,116.187,116.195,0,0
1537235100,116.195,116.195,116.156,116.189,0,0
1537235400,116.189,116.233,116.172,116.233,0,0
1537235700,116.233,116.259,116.209,116.228,0,0
1537236000,116.228,116.262,116.213,116.227,0,0
1537236300,116.227,116.24,116.209,116.214,0,0
1537236600,116.214,116.232,116.2,116.214,0,0
1537236900,116.214,116.225,116.202,116.209,0,0
1537237200,116.209,116.233,116.201,116.224,0,0
1537237500,116.224,116.28,116.224,116.253,0,0
1537237800,116.253,116.259,116.23,116.236,0,0
1537238100,116.236,116.236,116.22,116.233,0,0
1537238400,116.233,116.253,116.223,116.225,0,0
1537238700,116.225,116.243,116.224,116.232,0,0
1537239000,116.232,116.253,116.218,116.245,0,0
1537239300,116.245,116.31,116.241,116.309,0,0
1537239600,116.309,116.381,116.304,116.356,0,0
1537239900,116.356,116.4,116.348,116.38,0,0
1537240200,116.38,116.399,116.364,116.38,0,0
1537240500,116.38,116.397,116.363,116.384,0,0
1537240800,116.384,116.391,116.369,116.369,0,0
1537241100,116.369,116.403,116.356,116.372,0,0
1537241400,116.372,116.413,116.369,116.382,0,0
1537241700,116.382,116.408,116.371,116.385,0,0
1537242000,116.385,116.406,116.318,116.325,0,0
1537242300,116.325,116.363,116.319,116.35,0,0
1537242600,116.35,116.361,116.337,116.349,0,0
1537242900,116.349,116.358,116.345,116.351,0,0
1537243200,116.351,116.374,116.351,116.37,0,0
1537243500,116.37,116.378,116.334,116.338,0,0
1537243800,116.338,116.372,116.338,116.353,0,0
1537244100,116.353,116.353,116.337,116.339,0,0
1537244400,116.339,116.356,116.338,116.352,0,0
1537244700,116.352,116.392,116.352,116.381,0,0
1537245000,116.381,116.395,116.376,116.383,0,0
1537245300,116.383,116.401,116.367,116.387,0,0
1537245600,116.387,116.389,116.375,116.377,0,0
1537245900,116.377,116.422,116.377,116.396,0,0
1537246200,116.396,116.4,116.383,116.395,0,0
1537246500,116.395,116.411,116.369,116.382,0,0
1537246800,116.382,116.397,116.363,116.392,0,0
1537247100,116.392,116.403,116.377,116.393,0,0
1537247400,116.393,116.422,116.393,116.409,0,0
1537247700,116.409,116.419,116.39,116.396,0,0
1537248000,116.396,116.404,116.387,116.399,0,0
1537248300,116.399,116.409,116.375,116.376,0,0
1537248600,116.376,116.384,116.367,116.376,0,0
1537248900,116.376,116.414,116.371,116.41,0,0
1537249200,116.41,116.429,116.41,116.427,0,0
1537249500,116.427,116.438,116.424,116.429,0,0
1537249800,116.429,116.439,116.414,116.437,0,0
1537250100,116.437,116.465,116.437,116.446,0,0
1537250400,116.446,116.457,116.412,116.426,0,0
1537250700,116.426,116.504,116.421,116.493,0,0
1537251000,116.493,116.6,116.481,116.566,0,0
1537251300,116.566,116.731,116.564,116.727,0,0
1537251600,116.727,116.767,116.71,116.74,0,0
1537251900,116.74,116.75,116.697,116.737,0,0
1537252200,116.737,116.75,116.71,116.737,0,0
1537252500,116.737,116.756,116.729,116.745,0,0
1537252800,116.745,116.75,116.723,116.733,0,0
1537253100,116.733,116.735,116.715,116.723,0,0
1537253400,116.723,116.739,116.676,116.687,0,0
1537253700,116.687,116.697,116.664,116.683,0,0
1537254000,116.683,116.685,116.506,116.528,0,0
1537254300,116.528,116.562,116.341,116.416,0,0
1537254600,116.416,116.443,116.345,116.429,0,0
1537254900,116.429,116.447,116.401,116.421,-1,0
1537255200,116.421,116.434,116.349,116.349,0,0
1537255500,116.349,116.421,116.343,116.376,0,0
1537255800,116.376,116.438,116.356,116.438,0,0
1537256100,116.438,116.445,116.322,116.322,0,0
1537256400,116.322,116.363,116.304,116.344,0,0
1537256700,116.344,116.399,116.339,116.395,0,0
1537257000,116.395,116.402,116.372,116.372,0,0
1537257300,116.372,116.465,116.371,116.461,0,0
1537257600,116.461,116.48,116.414,116.426,0,0
1537257900,116.426,116.441,116.393,116.413,0,0
1537258200,116.413,116.423,116.381,116.385,0,0
1537258500,116.385,116.437,116.364,116.436,0,0
1537258800,116.436,116.456,116.43,116.451,0,0
1537259100,116.451,116.489,116.447,116.459,0,0
1537259400,116.459,116.497,116.457,116.469,0,0
1537259700,116.469,116.488,116.463,116.475,0,0
1537260000,116.475,116.496,116.44,116.492,0,0
1537260300,116.492,116.538,116.491,116.514,0,0
1537260600,116.514,116.547,116.51,116.541,0,0
