time,open,high,low,close,"Pattern Alert",Volume
1529433000,1.56882,1.569,1.56858,1.56864,0,0
1529433300,1.56864,1.56864,1.5684,1.5685,0,0
1529433600,1.5685,1.56865,1.56831,1.5686,0,0
1529433900,1.5686,1.5686,1.56825,1.56852,0,0
1529434200,1.56852,1.56871,1.56844,1.56869,0,0
1529434500,1.56869,1.56912,1.5686,1.56885,0,0
1529434800,1.56885,1.56908,1.56879,1.56906,0,0
1529435100,1.56906,1.56956,1.56897,1.56928,0,0
1529435400,1.56928,1.56928,1.56894,1.56901,0,0
1529435700,1.56901,1.56952,1.56889,1.56947,0,0
1529436000,1.56947,1.56963,1.56939,1.56939,0,0
1529436300,1.56939,1.56956,1.56934,1.56949,0,0
1529436600,1.56949,1.56949,1.56921,1.56934,0,0
1529436900,1.56934,1.56941,1.56915,1.56933,0,0
1529437200,1.56933,1.56964,1.56933,1.56954,0,0
1529437500,1.56954,1.56992,1.56954,1.56973,0,0
1529437800,1.56973,1.56973,1.56942,1.56954,0,0
1529438100,1.56954,1.56984,1.56947,1.56979,0,0
1529438400,1.56979,1.57007,1.56969,1.57002,0,0
1529438700,1.57002,1.57011,1.56981,1.5699,0,0
1529439000,1.5699,1.57008,1.56984,1.5699,0,0
1529439300,1.5699,1.5708,1.56989,1.57042,0,0
1529439600,1.57042,1.57061,1.56986,1.56993,0,0
1529439900,1.56993,1.57019,1.56971,1.56981,0,0
1529440200,1.56981,1.56989,1.56957,1.56967,0,0
1529440500,1.56967,1.56975,1.56961,1.56972,0,0
1529440800,1.56972,1.56992,1.56962,1.56992,0,0
1529441100,1.56992,1.56996,1.56963,1.56966,0,0
1529441400,1.56966,1.56984,1.56961,1.56979,0,0
1529441700,1.56979,1.56987,1.56921,1.56924,0,0
1529442000,1.56924,1.57005,1.56899,1.57005,0,0
1529442300,1.57005,1.57009,1.56938,1.57007,0,0
1529442600,1.57007,1.57018,1.56965,1.56966,0,0
1529442900,1.56966,1.56991,1.56966,1.56991,0,0
1529443200,1.56991,1.56991,1.56936,1.5696,0,0
1529443500,1.5696,1.5696,1.56928,1.56937,0,0
1529443800,1.56937,1.56972,1.56937,1.56964,0,0
1529444100,1.56964,1.56974,1.56951,1.56974,0,0
1529444400,1.56974,1.57017,1.56969,1.57016,0,0
1529444700,1.57016,1.57034,1.56989,1.57004,0,0
1529445000,1.57004,1.57015,1.56948,1.56986,0,0
1529445300,1.56986,1.57025,1.56984,1.57022,0,0
1529445600,1.57022,1.57024,1.56989,1.57016,0,0
1529445900,1.57016,1.5702,1.56978,1.56982,0,0
1529446200,1.56982,1.5706,1.56979,1.57036,0,0
1529446500,1.57036,1.57051,1.57023,1.57051,0,0
1529446800,1.57051,1.57054,1.57036,1.5705,0,0
1529447100,1.5705,1.57065,1.57041,1.57065,0,0
1529447400,1.57065,1.57068,1.57023,1.57023,0,0
1529447700,1.57023,1.57023,1.56965,1.56994,0,0
1529448000,1.56994,1.57021,1.56967,1.56973,0,0
1529448300,1.56973,1.56993,1.56953,1.56961,0,0
1529448600,1.56961,1.56981,1.5692,1.5698,0,0
1529448900,1.5698,1.57015,1.56977,1.56996,0,0
1529449200,1.56996,1.56996,1.56946,1.56958,0,0
1529449500,1.56958,1.57009,1.56932,1.56944,0,0
1529449800,1.56944,1.56991,1.56933,1.56967,0,0
1529450100,1.56967,1.56968,1.5688,1.56889,0,0
1529450400,1.56889,1.5693,1.56884,1.5689,0,0
1529450700,1.5689,1.56912,1.56865,1.56906,0,0
1529451000,1.56906,1.56934,1.56875,1.56908,0,0
1529451300,1.56908,1.56908,1.5688,1.56889,0,0
1529451600,1.56889,1.56893,1.56864,1.56869,0,0
1529451900,1.56869,1.56881,1.56816,1.56816,0,0
1529452200,1.56816,1.56839,1.56792,1.56829,0,0
1529452500,1.56829,1.56864,1.56806,1.56806,0,0
1529452800,1.56806,1.5684,1.56766,1.56799,0,0
1529453100,1.56799,1.56808,1.56765,1.56801,0,0
1529453400,1.56801,1.56874,1.5679,1.56859,0,0
1529453700,1.56859,1.56867,1.56805,1.56807,0,0
1529454000,1.56807,1.56827,1.56765,1.56776,0,0
1529454300,1.56776,1.56779,1.5675,1.56765,0,0
1529454600,1.56765,1.56841,1.56765,1.56836,0,0
1529454900,1.56836,1.56873,1.5683,1.56832,0,0
1529455200,1.56832,1.56854,1.56828,1.56849,0,0
1529455500,1.56849,1.56861,1.56833,1.56838,0,0
1529455800,1.56838,1.56852,1.56791,1.56792,0,0
1529456100,1.56792,1.56858,1.56792,1.56834,0,0
1529456400,1.56834,1.57037,1.56826,1.57035,0,0
1529456700,1.57035,1.57063,1.56972,1.56977,0,0
1529457000,1.56977,1.56986,1.56947,1.56977,0,0
1529457300,1.56977,1.56982,1.56798,1.56878,0,0
1529457600,1.56878,1.56882,1.56791,1.56858,0,0
1529457900,1.56858,1.56872,1.56758,1.56768,0,0
1529458200,1.56768,1.56769,1.56572,1.56579,0,0
1529458500,1.56579,1.56592,1.56548,1.56548,0,0
1529458800,1.56548,1.56659,1.56548,1.56641,0,0
1529459100,1.56641,1.56718,1.5662,1.56677,0,0
1529459400,1.56677,1.56702,1.56618,1.56628,0,0
1529459700,1.56628,1.5667,1.56618,1.56627,0,0
1529460000,1.56627,1.56639,1.56482,1.56496,0,0
1529460300,1.56496,1.56538,1.56475,1.5651,0,0
1529460600,1.5651,1.56598,1.56507,1.56591,0,0
1529460900,1.56591,1.56664,1.56589,1.56631,0,0
1529461200,1.56631,1.56662,1.56628,1.56657,0,0
1529461500,1.56657,1.56662,1.56575,1.56583,0,0
1529461800,1.56583,1.56635,1.56559,1.56612,0,0
1529462100,1.56612,1.56629,1.56587,1.56588,0,0
1529462400,1.56588,1.56637,1.56555,1.56628,0,0
1529462700,1.56628,1.566345,1.565635,1.5658,0,0
1529463000,1.5658,1.56605,1.56556,1.566035,0,0
1529463300,1.566035,1.566705,1.56602,1.566215,0,0
1529463600,1.566215,1.56638,1.5658,1.565985,0,0
1529463900,1.565985,1.56624,1.5657,1.56592,0,0
1529464200,1.56592,1.56608,1.56548,1.56589,0,0
1529464500,1.56589,1.56596,1.56556,1.56596,0,0
1529464800,1.56596,1.56604,1.56541,1.56551,0,0
1529465100,1.56551,1.56552,1.56512,1.56537,0,0
1529465400,1.56537,1.56573,1.5652,1.56569,0,0
1529465700,1.56569,1.56632,1.5654,1.56601,0,0
1529466000,1.56601,1.56604,1.56553,1.56581,0,0
