time,open,high,low,close,"Pattern Alert",Volume
1531688400,1.16994,1.17016,1.16963,1.16984,0,0
1531688700,1.16984,1.17008,1.1698,1.16998,0,0
1531689000,1.16998,1.17023,1.16984,1.16992,0,0
1531689300,1.16992,1.17011,1.16992,1.17001,0,0
1531689600,1.17001,1.17027,1.16995,1.17005,0,0
1531689900,1.17005,1.1701,1.16999,1.1701,0,0
1531690200,1.1701,1.17043,1.16987,1.16995,0,0
1531690500,1.16995,1.17032,1.16995,1.17005,0,0
1531690800,1.17005,1.17037,1.16991,1.1703,0,0
1531691100,1.1703,1.17034,1.16974,1.16978,0,0
1531691400,1.16978,1.16984,1.1697,1.16981,0,0
1531691700,1.16981,1.17031,1.1697,1.17028,0,0
1531692000,1.17028,1.17056,1.1698,1.17008,0,0
1531692300,1.17008,1.17046,1.17007,1.17045,0,0
1531692600,1.17045,1.1705,1.17032,1.17049,0,0
1531692900,1.17049,1.17056,1.17047,1.17049,0,0
1531693200,1.17049,1.17058,1.17047,1.17052,0,0
1531693500,1.17052,1.17063,1.1705,1.1705,0,0
1531693800,1.1705,1.17065,1.17049,1.1706,0,0
1531694100,1.1706,1.1706,1.1705,1.17052,0,0
1531694400,1.17052,1.1707,1.17052,1.17069,0,0
1531694700,1.17069,1.17071,1.17061,1.17065,0,0
1531695000,1.17065,1.17082,1.17064,1.17074,0,0
1531695300,1.17074,1.17077,1.17067,1.17069,0,0
1531695600,1.17069,1.17078,1.17059,1.1706,0,0
1531695900,1.1706,1.17062,1.1705,1.17055,0,0
1531696200,1.17055,1.1707,1.17051,1.17057,0,0
1531696500,1.17057,1.17063,1.17054,1.1706,0,0
1531696800,1.1706,1.17068,1.17057,1.17064,0,0
1531697100,1.17064,1.1708,1.17064,1.17078,0,0
1531697400,1.17078,1.17081,1.17063,1.17064,0,0
1531697700,1.17064,1.17066,1.17048,1.17051,0,0
1531698000,1.17051,1.17055,1.17031,1.17032,0,0
1531698300,1.17032,1.17049,1.17031,1.17045,0,0
