time,open,high,low,close,"Pattern Alert",Volume
1523903400,0.86416,0.86418,0.86409,0.86415,0,0
1523903700,0.86415,0.86416,0.86408,0.86414,0,0
1523904000,0.86414,0.86428,0.86414,0.86428,0,0
1523904300,0.86428,0.86426,0.86402,0.86404,0,0
1523904600,0.86404,0.86419,0.86404,0.86406,0,0
1523904900,0.86406,0.86408,0.86388,0.8639,0,0
1523905200,0.8639,0.86399,0.86383,0.86386,0,0
1523905500,0.86386,0.86398,0.86372,0.86372,0,0
1523905800,0.86372,0.86392,0.86366,0.86392,0,0
1523906100,0.86392,0.8639,0.86371,0.8638,0,0
1523906400,0.8638,0.86384,0.86376,0.86379,0,0
1523906700,0.86379,0.86384,0.86374,0.86376,0,0
1523907000,0.86376,0.86378,0.8637,0.86376,0,0
1523907300,0.86376,0.86378,0.86358,0.86366,0,0
1523907600,0.86366,0.86366,0.86334,0.86334,0,0
1523907900,0.86334,0.8635,0.86337,0.86337,0,0
1523908200,0.86337,0.86352,0.86337,0.86337,0,0
1523908500,0.86337,0.86338,0.86322,0.86325,0,0
1523908800,0.86325,0.86344,0.86323,0.86337,0,0
1523909100,0.86337,0.86338,0.86328,0.86331,0,0
1523909400,0.86331,0.8634,0.86328,0.86336,0,0
1523909700,0.86336,0.86338,0.86322,0.86328,0,0
1523910000,0.86328,0.86344,0.86326,0.86339,0,0
1523910300,0.86339,0.86352,0.86316,0.86352,0,0
1523910600,0.86352,0.8636,0.8634,0.86352,0,0
1523910900,0.86352,0.86356,0.8634,0.86344,0,0
1523911200,0.86344,0.86353,0.86344,0.86351,0,0
1523911500,0.86351,0.86351,0.86342,0.86342,0,0
1523911800,0.86342,0.86351,0.86336,0.86341,0,0
1523912100,0.86341,0.86346,0.86337,0.86342,0,0
1523912400,0.86342,0.86361,0.86342,0.8636,0,0
1523912700,0.8636,0.86356,0.86356,0.86356,0,0
1523913000,0.86356,0.86356,0.86353,0.86356,0,0
1523913300,0.86356,0.86359,0.86352,0.86352,0,0
1523913600,0.86352,0.86352,0.86352,0.86352,0,0
1523913900,0.86352,0.86352,0.86352,0.86352,0,0
1523914200,0.86352,0.86354,0.86352,0.86352,0,0
1523914500,0.86352,0.86358,0.86346,0.86346,0,0
1523914800,0.86346,0.86346,0.86346,0.86346,0,0
1523915100,0.86346,0.86348,0.86346,0.86348,0,0
1523915400,0.86348,0.86354,0.86343,0.86354,0,0
1523915700,0.86354,0.86354,0.8634,0.86352,0,0
1523916000,0.86352,0.86357,0.86347,0.86347,0,0
1523916300,0.86347,0.86357,0.86341,0.86357,0,0
1523916600,0.86357,0.86354,0.86346,0.86346,0,0
1523916900,0.86346,0.86356,0.86348,0.86351,0,0
1523917200,0.86351,0.86348,0.86329,0.86334,0,0
