time,open,high,low,close,"Pattern Alert",Volume
1540319400,128.967,129.072,128.94,129.04,0,0
1540319700,129.04,129.066,129.015,129.027,0,0
1540320000,129.027,129.036,128.948,128.982,0,0
1540320300,128.982,128.986,128.93,128.961,0,0
1540320600,128.961,128.974,128.94,128.95,0,0
1540320900,128.95,128.982,128.943,128.975,0,0
1540321200,128.975,129.006,128.951,128.977,0,0
1540321500,128.977,129.026,128.967,128.99,0,0
1540321800,128.99,129.012,128.982,128.998,0,0
1540322100,128.998,129.032,128.992,129.014,0,0
1540322400,129.014,129.078,129.011,129.041,0,0
1540322700,129.041,129.041,129.005,129.021,0,0
1540323000,129.021,129.024,128.953,128.957,0,0
1540323300,128.957,128.959,128.913,128.919,0,0
1540323600,128.919,128.941,128.919,128.94,0,0
1540323900,128.94,128.945,128.923,128.933,0,0
1540324200,128.933,128.942,128.907,128.922,0,0
1540324500,128.922,128.922,128.887,128.896,0,0
1540324800,128.896,128.93,128.89,128.929,0,0
1540325100,128.929,128.971,128.929,128.968,0,0
1540325400,128.968,128.987,128.964,128.987,0,0
1540325700,128.987,128.998,128.973,128.997,0,0
1540326000,128.997,129.003,128.981,128.981,0,0
1540326300,128.981,128.982,128.965,128.966,0,0
1540326600,128.966,128.966,128.938,128.94,0,0
1540326900,128.94,128.94,128.912,128.912,0,0
1540327200,128.912,128.919,128.91,128.913,0,0
1540327500,128.913,128.922,128.909,128.922,0,0
1540327800,128.922,128.966,128.909,128.963,0,0
1540328100,128.963,128.98,128.952,128.967,0,0
1540328400,128.967,128.967,128.928,128.96,0,0
1540328700,128.96,128.966,128.954,128.964,0,0
1540329000,128.964,128.969,128.957,128.96,0,0
1540329300,128.96,128.961,128.951,128.956,0,0
1540329600,128.956,128.961,128.942,128.949,0,0
1540329900,128.949,128.959,128.945,128.952,0,0
1540330200,128.952,128.964,128.916,128.932,0,0
1540330500,128.932,128.973,128.93,128.966,0,0
1540330800,128.966,128.972,128.898,128.945,0,0
1540331100,128.945,128.954,128.926,128.94,0,0
1540331400,128.94,128.952,128.935,128.947,0,0
1540331700,128.947,128.964,128.943,128.943,0,0
1540332000,128.943,128.969,128.923,128.923,0,0
1540332300,128.923,128.949,128.911,128.935,0,0
1540332600,128.935,128.95,128.933,128.947,0,0
1540332900,128.947,128.948,128.936,128.944,0,0
1540333200,128.944,128.949,128.938,128.948,0,0
1540333500,128.948,128.95,128.934,128.937,0,0
1540333800,128.937,128.942,128.934,128.934,0,0
1540334100,128.934,128.942,128.929,128.94,0,0
1540334400,128.94,128.94,128.924,128.928,0,0
1540334700,128.928,128.943,128.928,128.942,0,0
1540335000,128.942,128.954,128.929,128.946,0,0
1540335300,128.946,128.947,128.895,128.9,0,0
1540335600,128.9,128.946,128.9,128.937,0,0
1540335900,128.937,128.952,128.935,128.946,0,0
1540336200,128.946,128.949,128.936,128.941,0,0
1540336500,128.941,128.949,128.927,128.938,0,0
1540336800,128.938,128.957,128.938,128.949,0,0
1540337100,128.949,128.981,128.948,128.976,0,0
1540337400,128.976,129.02,128.968,129.019,0,0
1540337700,129.019,129.032,129.013,129.023,0,0
1540338000,129.023,129.028,129.002,129.007,0,0
1540338300,129.007,129.009,128.982,128.989,0,0
1540338600,128.989,129.016,128.985,129.015,0,0
1540338900,129.015,129.031,128.982,128.987,0,0
1540339200,128.987,129.028,128.961,128.98,0,0
1540339500,128.98,128.98,128.934,128.952,0,0
1540339800,128.952,128.953,128.919,128.925,0,0
1540340100,128.925,128.961,128.923,128.928,0,0
1540340400,128.928,128.995,128.928,128.987,0,0
1540340700,128.987,128.991,128.919,128.925,0,0
1540341000,128.925,128.935,128.908,128.927,0,0
1540341300,128.927,128.931,128.88,128.902,0,0
1540341600,128.902,128.968,128.894,128.947,0,0
1540341900,128.947,128.968,128.94,128.952,0,0
1540342200,128.952,128.97,128.946,128.958,0,0
1540342500,128.958,128.967,128.942,128.95,0,0
1540342800,128.95,128.97,128.92,128.929,0,0
1540343100,128.929,128.942,128.898,128.903,0,0
1540343400,128.903,128.914,128.879,128.908,0,0
1540343700,128.908,128.909,128.846,128.861,0,0
1540344000,128.861,128.866,128.794,128.794,0,0
1540344300,128.794,128.863,128.769,128.859,0,0
1540344600,128.859,128.935,128.819,128.935,0,0
1540344900,128.935,129.031,128.913,129.031,0,0
1540345200,129.031,129.069,128.988,128.998,0,0
1540345500,128.998,129.001,128.942,128.966,0,0
1540345800,128.966,129.045,128.955,129.015,0,0
1540346100,129.015,129.023,128.962,128.979,0,0
1540346400,128.979,128.999,128.94,128.961,0,0
1540346700,128.961,128.997,128.921,128.922,0,0
1540347000,128.922,128.946,128.912,128.94,0,0
1540347300,128.94,128.997,128.935,128.995,0,0
1540347600,128.995,129.022,128.993,129.021,0,0
1540347900,129.021,129.033,128.991,129.021,0,0
1540348200,129.021,129.044,128.912,128.923,0,0
1540348500,128.923,128.997,128.923,128.962,0,0
1540348800,128.962,128.981,128.954,128.971,0,0
1540349100,128.971,128.99,128.937,128.989,0,0
1540349400,128.989,129.01,128.985,129.009,0,0
1540349700,129.009,129.011,128.979,129.007,0,0
1540350000,129.007,129.026,128.993,129.012,0,0
1540350300,129.012,129.078,129.007,129.068,0,0
1540350600,129.068,129.16,129.067,129.139,0,0
1540350900,129.139,129.191,129.105,129.189,0,0
1540351200,129.189,129.193,129.156,129.164,0,0
1540351500,129.164,129.185,129.152,129.181,0,0
1540351800,129.181,129.202,129.147,129.162,0,0
1540352100,129.162,129.164,129.133,129.149,0,0
1540352400,129.149,129.161,129.124,129.131,0,0
1540352700,129.131,129.185,129.118,129.182,0,0
1540353000,129.182,129.183,129.141,129.145,0,0
1540353300,129.145,129.155,129.107,129.136,0,0
1540353600,129.136,129.145,129.112,129.116,0,0
1540353900,129.116,129.121,129.075,129.077,0,0
1540354200,129.077,129.125,129.077,129.108,0,0
1540354500,129.108,129.111,129.097,129.103,0,0
1540354800,129.103,129.105,129.085,129.1,0,0
1540355100,129.1,129.131,129.097,129.126,0,0
1540355400,129.126,129.141,129.12,129.13,0,0
1540355700,129.13,129.146,129.124,129.129,0,0
1540356000,129.129,129.164,129.128,129.155,0,0
1540356300,129.155,129.171,129.149,129.169,0,0
1540356600,129.169,129.203,129.165,129.191,0,0
1540356900,129.191,129.21,129.161,129.164,0,0
1540357200,129.164,129.185,129.105,129.113,0,0
1540357500,129.113,129.117,129.084,129.085,0,0
1540357800,129.085,129.147,129.085,129.143,0,0
1540358100,129.143,129.169,129.136,129.136,0,0
1540358400,129.136,129.138,129.093,129.093,0,0
1540358700,129.093,129.109,129.071,129.081,0,0
1540359000,129.081,129.101,129.065,129.078,0,0
1540359300,129.078,129.093,129.063,129.087,0,0
1540359600,129.087,129.119,129.081,129.095,0,0
1540359900,129.095,129.103,129.082,129.092,0,0
1540360200,129.092,129.117,129.082,129.096,0,0
1540360500,129.096,129.101,129.03,129.037,0,0
1540360800,129.037,129.039,128.984,129.007,0,0
1540361100,129.007,129.031,128.997,129.005,0,0
1540361400,129.005,129.011,128.921,128.939,0,0
1540361700,128.939,128.996,128.915,128.954,0,0
1540362000,128.954,129.019,128.954,129.01,0,0
1540362300,129.01,129.013,128.96,128.991,0,0
1540362600,128.991,129.001,128.956,128.976,0,0
1540362900,128.976,129.015,128.949,128.985,0,0
1540363200,128.985,128.99,128.919,128.93,0,0
1540363500,128.93,128.97,128.912,128.957,0,0
1540363800,128.957,128.996,128.923,128.964,0,0
1540364100,128.964,128.989,128.891,128.893,0,0
1540364400,128.893,129.041,128.824,129.01,0,0
1540364700,129.01,129.051,128.981,128.985,0,0
1540365000,128.985,128.996,128.909,128.927,0,0
1540365300,128.927,128.931,128.847,128.85,0,0
1540365600,128.85,128.942,128.818,128.849,0,0
1540365900,128.849,128.872,128.815,128.842,0,0
1540366200,128.842,128.842,128.484,128.688,0,0
1540366500,128.688,128.724,128.608,128.642,0,0
1540366800,128.642,128.643,128.499,128.572,0,0
1540367100,128.572,128.648,128.516,128.627,0,0
1540367400,128.627,128.704,128.613,128.653,0,0
1540367700,128.653,128.678,128.594,128.594,0,0
1540368000,128.594,128.608,128.443,128.571,0,0
1540368300,128.571,128.571,128.445,128.45,0,0
1540368600,128.45,128.552,128.441,128.543,0,0
1540368900,128.543,128.543,128.372,128.414,0,0
