time,open,high,low,close,"Pattern Alert",Volume
1514917800,1.20478,1.20494,1.20472,1.20487,0,0
1514918100,1.20487,1.20502,1.20474,1.20496,0,0
1514918400,1.20496,1.20498,1.20474,1.2049,0,0
1514918700,1.2049,1.20491,1.20472,1.20473,0,0
1514919000,1.20473,1.20476,1.20433,1.20452,0,0
1514919300,1.20452,1.20462,1.20417,1.20442,0,0
1514919600,1.20442,1.2045,1.20434,1.2044,0,0
1514919900,1.2044,1.2048,1.20437,1.2047,0,0
1514920200,1.2047,1.20486,1.20464,1.20465,0,0
1514920500,1.20465,1.20464,1.20448,1.2045,0,0
1514920800,1.2045,1.20458,1.20444,1.20454,0,0
1514921100,1.20454,1.2049,1.20454,1.20477,0,0
1514921400,1.20477,1.20496,1.2047,1.20492,0,0
1514921700,1.20492,1.205,1.2049,1.20494,0,0
1514922000,1.20494,1.20506,1.20486,1.20504,0,0
1514922300,1.20504,1.20511,1.20496,1.2051,0,0
1514922600,1.2051,1.20514,1.20504,1.20506,0,0
1514922900,1.20506,1.20538,1.20506,1.20538,0,0
1514923200,1.20538,1.20548,1.20526,1.2054,0,0
1514923500,1.2054,1.20564,1.20538,1.20544,0,0
1514923800,1.20544,1.20548,1.20522,1.20542,0,0
1514924100,1.20542,1.20542,1.20516,1.20531,0,0
1514924400,1.20531,1.20543,1.20522,1.20542,0,0
1514924700,1.20542,1.20554,1.20536,1.20543,0,0
1514925000,1.20543,1.20567,1.20534,1.20565,0,0
1514925300,1.20565,1.2057,1.2055,1.20556,0,0
1514925600,1.20556,1.20576,1.20556,1.20576,0,0
1514925900,1.20576,1.2059,1.20559,1.20586,0,0
1514926200,1.20586,1.20609,1.20584,1.20598,0,0
1514926500,1.20598,1.20603,1.20582,1.2059,0,0
1514926800,1.2059,1.20628,1.2059,1.20622,0,0
1514927100,1.20622,1.20655,1.20619,1.20642,0,0
1514927400,1.20642,1.20652,1.2061,1.20614,0,0
1514927700,1.20614,1.20612,1.20576,1.20582,0,0
1514928000,1.20582,1.20596,1.2058,1.20593,0,0
1514928300,1.20593,1.20595,1.2056,1.2056,0,0
1514928600,1.2056,1.20572,1.20546,1.2056,0,0
1514928900,1.2056,1.20578,1.20559,1.20572,0,0
1514929200,1.20572,1.20605,1.20572,1.20593,0,0
1514929500,1.20593,1.20599,1.20579,1.20596,0,0
1514929800,1.20596,1.20604,1.20586,1.20597,0,0
1514930100,1.20597,1.20598,1.20578,1.2058,0,0
1514930400,1.2058,1.20591,1.2056,1.20561,0,0
1514930700,1.20561,1.20568,1.2056,1.20566,0,0
1514931000,1.20566,1.20566,1.20564,1.20564,0,0
1514931300,1.20564,1.20574,1.2056,1.20568,0,0
1514931600,1.20568,1.20566,1.2056,1.20566,0,0
1514931900,1.20566,1.20572,1.20566,1.20566,0,0
1514932200,1.20566,1.20564,1.2055,1.20552,0,0
1514932500,1.20552,1.2057,1.20551,1.20568,0,0
1514932800,1.20568,1.20576,1.20568,1.20572,0,0
1514933100,1.20572,1.20574,1.20568,1.20569,0,0
1514933400,1.20569,1.2058,1.20561,1.20568,0,0
1514933700,1.20568,1.2058,1.20564,1.20579,0,0
1514934000,1.20579,1.20592,1.20568,1.20578,0,0
1514934300,1.20578,1.2062,1.20576,1.2062,0,0
1514934600,1.2062,1.20624,1.20608,1.20612,0,0
1514934900,1.20612,1.20632,1.20612,1.2062,0,0
1514935200,1.2062,1.2064,1.20619,1.20638,0,0
1514935500,1.20638,1.20648,1.20632,1.20642,0,0
1514935800,1.20642,1.20645,1.20634,1.20645,0,0
1514936100,1.20645,1.20655,1.20642,1.20652,0,0
1514936400,1.20652,1.2066,1.20646,1.2065,0,0
1514936700,1.2065,1.20658,1.20648,1.20648,0,0
1514937000,1.20648,1.2065,1.20614,1.20644,0,0
1514937300,1.20644,1.20644,1.20616,1.20616,0,0
1514937600,1.20616,1.2064,1.20614,1.20638,0,0
1514937900,1.20638,1.20639,1.20606,1.20606,0,0
1514938200,1.20606,1.20637,1.20606,1.20632,0,0
1514938500,1.20632,1.20632,1.20589,1.2059,0,0
1514938800,1.2059,1.20592,1.20562,1.20567,0,0
1514939100,1.20567,1.2057,1.20499,1.2052,0,0
1514939400,1.2052,1.20545,1.20494,1.2051,0,0
1514939700,1.2051,1.20555,1.20514,1.20541,0,0
1514940000,1.20541,1.20586,1.20538,1.20564,0,0
1514940300,1.20564,1.20586,1.20559,1.20576,0,0
1514940600,1.20576,1.20618,1.20566,1.20612,0,0
1514940900,1.20612,1.20616,1.20594,1.20594,0,0
1514941200,1.20594,1.20611,1.20576,1.2061,0,0
1514941500,1.2061,1.20633,1.20599,1.20628,0,0
1514941800,1.20628,1.20628,1.20592,1.20599,0,0
1514942100,1.20599,1.20602,1.20588,1.2059,0,0
1514942400,1.2059,1.20594,1.20578,1.20581,0,0
1514942700,1.20581,1.20582,1.2055,1.20556,0,0
1514943000,1.20556,1.20567,1.20549,1.20564,0,0
1514943300,1.20564,1.20564,1.20498,1.20498,0,0
1514943600,1.20498,1.20507,1.2046,1.20476,0,0
1514943900,1.20476,1.20476,1.20445,1.2047,0,0
1514944200,1.2047,1.2051,1.20472,1.205,0,0
1514944500,1.205,1.20546,1.20498,1.20528,0,0
1514944800,1.20528,1.20534,1.20494,1.20513,0,0
1514945100,1.20513,1.20514,1.20486,1.20486,0,0
1514945400,1.20486,1.20498,1.20476,1.20494,0,0
1514945700,1.20494,1.20502,1.20458,1.20458,0,0
1514946000,1.20458,1.20457,1.2043,1.2044,0,0
1514946300,1.2044,1.20456,1.20436,1.20436,0,0
1514946600,1.20436,1.20454,1.20424,1.20454,0,0
1514946900,1.20454,1.2047,1.20453,1.20464,0,0
1514947200,1.20464,1.20472,1.20426,1.20436,0,0
1514947500,1.20436,1.20463,1.20436,1.20444,0,0
1514947800,1.20444,1.20456,1.20434,1.2045,0,0
1514948100,1.2045,1.2045,1.2042,1.20422,0,0
1514948400,1.20422,1.20442,1.20418,1.20435,0,0
1514948700,1.20435,1.20456,1.20427,1.20452,0,0
1514949000,1.20452,1.20452,1.20434,1.20438,0,0
1514949300,1.20438,1.20463,1.20432,1.20461,0,0
1514949600,1.20461,1.20463,1.20446,1.2045,0,0
1514949900,1.2045,1.20459,1.2045,1.20453,0,0
1514950200,1.20453,1.20462,1.20452,1.20457,0,0
1514950500,1.20457,1.20473,1.20454,1.20462,0,0
1514950800,1.20462,1.20471,1.20462,1.2047,0,0
1514951100,1.2047,1.20478,1.20462,1.20472,0,0
1514951400,1.20472,1.20478,1.20464,1.2047,0,0
1514951700,1.2047,1.20472,1.20464,1.20466,0,0
1514952000,1.20466,1.20492,1.20464,1.20484,0,0
1514952300,1.20484,1.2049,1.20462,1.20464,0,0
1514952600,1.20464,1.2049,1.20464,1.20489,0,0
1514952900,1.20489,1.20499,1.20486,1.20492,0,0
1514953200,1.20492,1.20502,1.2049,1.205,0,0
1514953500,1.205,1.20507,1.20496,1.20502,0,0
1514953800,1.20502,1.20536,1.205,1.20526,0,0
1514954100,1.20526,1.20538,1.20522,1.20536,0,0
1514954400,1.20536,1.2054,1.20517,1.2052,0,0
1514954700,1.2052,1.20522,1.20511,1.20512,0,0
1514955000,1.20512,1.20516,1.20502,1.2051,0,0
1514955300,1.2051,1.20517,1.20505,1.2051,0,0
1514955600,1.2051,1.20519,1.20504,1.20518,0,0
1514955900,1.20518,1.20519,1.20492,1.20506,0,0
1514956200,1.20506,1.20514,1.20498,1.20502,0,0
1514956500,1.20502,1.20518,1.20504,1.20518,0,0
1514956800,1.20518,1.20554,1.20516,1.20524,0,0
1514957100,1.20524,1.20555,1.20522,1.20552,0,0
1514957400,1.20552,1.20555,1.20544,1.20554,0,0
1514957700,1.20554,1.20558,1.2054,1.20542,0,0
1514958000,1.20542,1.20596,1.20542,1.20582,0,0
1514958300,1.20582,1.2059,1.20567,1.20568,0,0
1514958600,1.20568,1.20578,1.20558,1.2056,0,0
1514958900,1.2056,1.20587,1.2056,1.2058,0,0
1514959200,1.2058,1.20602,1.20574,1.20582,0,0
1514959500,1.20582,1.2059,1.20571,1.20582,0,0
1514959800,1.20582,1.2059,1.20576,1.20586,0,0
1514960100,1.20586,1.20584,1.20565,1.20568,0,0
1514960400,1.20568,1.2057,1.20552,1.20565,0,0
