time,open,high,low,close,"Pattern Alert",Volume
1535394600,1.75483,1.75483,1.7545,1.75471,0,0
1535394900,1.75471,1.75489,1.75459,1.75488,0,0
1535395200,1.75488,1.75491,1.75456,1.75477,0,0
1535395500,1.75477,1.75503,1.7547,1.75484,0,0
1535395800,1.75484,1.7553,1.7548,1.75512,0,0
1535396100,1.75512,1.75534,1.75477,1.75488,0,0
1535396400,1.75488,1.75503,1.75467,1.75475,0,0
1535396700,1.75475,1.75476,1.75449,1.75464,0,0
1535397000,1.75464,1.7548,1.75458,1.75469,0,0
1535397300,1.75469,1.75469,1.75456,1.75461,0,0
1535397600,1.75461,1.75486,1.75461,1.75482,0,0
1535397900,1.75482,1.75485,1.75447,1.75454,0,0
1535398200,1.75454,1.75458,1.75421,1.75422,0,0
1535398500,1.75422,1.75436,1.75417,1.75427,0,0
1535398800,1.75427,1.75454,1.75422,1.75436,0,0
1535399100,1.75436,1.75449,1.75429,1.75432,0,0
1535399400,1.75432,1.75446,1.75428,1.75436,0,0
1535399700,1.75436,1.75464,1.75429,1.75432,0,0
1535400000,1.75432,1.75441,1.75401,1.75408,0,0
1535400300,1.75408,1.75425,1.75404,1.7541,0,0
1535400600,1.7541,1.75425,1.75404,1.7541,0,0
1535400900,1.7541,1.75452,1.75405,1.75452,0,0
1535401200,1.75452,1.75453,1.75433,1.75441,0,0
1535401500,1.75441,1.75468,1.75425,1.75463,0,0
1535401800,1.75463,1.75471,1.75438,1.7545,0,0
1535402100,1.7545,1.75465,1.75449,1.75456,0,0
1535402400,1.75456,1.75484,1.75444,1.75476,0,0
1535402700,1.75476,1.75499,1.75471,1.75499,0,0
1535403000,1.75499,1.75509,1.75461,1.75498,0,0
1535403300,1.75498,1.75503,1.754,1.754,0,0
1535403600,1.754,1.75453,1.75271,1.75453,0,0
1535403900,1.75453,1.75494,1.75378,1.75405,0,0
1535404200,1.75405,1.75405,1.75356,1.7538,0,0
1535404500,1.7538,1.75417,1.7537,1.75375,0,0
1535404800,1.75375,1.75466,1.75365,1.75414,0,0
1535405100,1.75414,1.75497,1.75414,1.75494,0,0
1535405400,1.75494,1.75504,1.75453,1.75475,0,0
1535405700,1.75475,1.7549,1.75466,1.75486,0,0
1535406000,1.75486,1.75499,1.75469,1.75473,0,0
1535406300,1.75473,1.75481,1.75446,1.75458,0,0
1535406600,1.75458,1.75463,1.75443,1.75451,0,0
1535406900,1.75451,1.75463,1.75444,1.75451,0,0
1535407200,1.75451,1.75477,1.75439,1.75476,0,0
1535407500,1.75476,1.7549,1.75473,1.75479,0,0
1535407800,1.75479,1.75479,1.75465,1.7547,0,0
1535408100,1.7547,1.7547,1.7546,1.75466,0,0
1535408400,1.75466,1.75471,1.75455,1.75465,0,0
1535408700,1.75465,1.75481,1.75463,1.75466,0,0
1535409000,1.75466,1.7548,1.75431,1.75441,0,0
1535409300,1.75441,1.75448,1.75433,1.75447,0,0
1535409600,1.75447,1.75465,1.7543,1.75434,0,0
1535409900,1.75434,1.75444,1.75423,1.75437,0,0
