time,open,high,low,close,"Pattern Alert",Volume
1520802000,1.7749,1.7749,1.7749,1.7749,0,0
1520802300,1.7749,1.77554,1.77472,1.77478,0,0
1520802600,1.77478,1.77483,1.77472,1.77483,0,0
1520802900,1.77483,1.77494,1.77435,1.7747,0,0
1520803200,1.7747,1.77484,1.77461,1.77482,0,0
1520803500,1.77482,1.77522,1.77473,1.77488,0,0
1520803800,1.77488,1.77489,1.77474,1.77487,0,0
1520804100,1.77487,1.77491,1.77486,1.77486,0,0
1520804400,1.77486,1.7749,1.77466,1.77478,0,0
1520804700,1.77478,1.77484,1.77465,1.77466,0,0
1520805000,1.77466,1.77484,1.77464,1.77484,0,0
1520805300,1.77484,1.77506,1.77477,1.77502,0,0
1520805600,1.77502,1.77519,1.77486,1.77502,0,0
1520805900,1.77502,1.77508,1.7749,1.775,0,0
1520806200,1.775,1.77568,1.77502,1.77564,0,0
1520806500,1.77564,1.77568,1.77524,1.77535,0,0
1520806800,1.77535,1.77576,1.77532,1.77562,0,0
1520807100,1.77562,1.77566,1.77542,1.77542,0,0
1520807400,1.77542,1.77552,1.77532,1.77548,0,0
1520807700,1.77548,1.77566,1.77536,1.7754,0,0
1520808000,1.7754,1.7755,1.77484,1.7749,0,0
1520808300,1.7749,1.77528,1.77489,1.77515,0,0
1520808600,1.77515,1.77526,1.77503,1.7751,0,0
1520808900,1.7751,1.77531,1.77508,1.7753,0,0
1520809200,1.7753,1.7755,1.77518,1.77534,0,0
1520809500,1.77534,1.77534,1.77489,1.77496,0,0
1520809800,1.77496,1.77514,1.77492,1.7751,0,0
1520810100,1.7751,1.77545,1.7751,1.77536,0,0
1520810400,1.77536,1.77569,1.77532,1.77532,0,0
1520810700,1.77532,1.77556,1.77519,1.77552,0,0
1520811000,1.77552,1.77585,1.77548,1.77582,0,0
1520811300,1.77582,1.77583,1.77554,1.77564,0,0
1520811600,1.77564,1.77582,1.77535,1.77543,0,0
1520811900,1.77543,1.77559,1.77512,1.77514,0,0
1520812200,1.77514,1.77536,1.77508,1.77508,0,0
1520812500,1.77508,1.77535,1.77495,1.77534,0,0
1520812800,1.77534,1.77546,1.77524,1.77544,0,0
1520813100,1.77544,1.77578,1.77536,1.77539,0,0
1520813400,1.77539,1.77542,1.77531,1.77536,0,0
1520813700,1.77536,1.77576,1.77524,1.77524,0,0
1520814000,1.77524,1.77538,1.7752,1.77532,0,0
1520814300,1.77532,1.77536,1.77488,1.77507,0,0
1520814600,1.77507,1.77531,1.77506,1.7752,0,0
1520814900,1.7752,1.77536,1.77518,1.77522,0,0
1520815200,1.77522,1.77551,1.7752,1.77545,0,0
1520815500,1.77545,1.77547,1.77528,1.77547,0,0
1520815800,1.77547,1.77556,1.77543,1.77547,0,0
1520816100,1.77547,1.77562,1.77537,1.77552,0,0
1520816400,1.77552,1.77556,1.77528,1.77536,0,0
1520816700,1.77536,1.7754,1.77495,1.775,0,0
1520817000,1.775,1.77522,1.77475,1.77488,0,0
1520817300,1.77488,1.77499,1.7747,1.7749,0,0
1520817600,1.7749,1.77502,1.77466,1.77472,0,0
1520817900,1.77472,1.77484,1.7746,1.77466,0,0
1520818200,1.77466,1.77466,1.77421,1.77448,0,0
1520818500,1.77448,1.77488,1.77446,1.77473,0,0
1520818800,1.77473,1.77496,1.77468,1.77473,0,0
1520819100,1.77473,1.77522,1.77472,1.77512,0,0
1520819400,1.77512,1.77533,1.77489,1.77504,0,0
1520819700,1.77504,1.77548,1.77504,1.77533,0,0
1520820000,1.77533,1.77549,1.77516,1.7753,0,0
1520820300,1.7753,1.77552,1.77502,1.77502,0,0
1520820600,1.77502,1.7752,1.77474,1.77506,0,0
1520820900,1.77506,1.7752,1.77495,1.77508,0,0
1520821200,1.77508,1.77512,1.77474,1.77474,0,0
1520821500,1.77474,1.77482,1.77428,1.7744,0,0
1520821800,1.7744,1.77465,1.7744,1.77452,0,0
1520822100,1.77452,1.77473,1.77444,1.77466,0,0
1520822400,1.77466,1.77476,1.77458,1.77462,0,0
1520822700,1.77462,1.77489,1.7746,1.77482,0,0
1520823000,1.77482,1.77486,1.77466,1.77482,0,0
1520823300,1.77482,1.77484,1.77464,1.77468,0,0
1520823600,1.77468,1.77484,1.77468,1.7748,0,0
1520823900,1.7748,1.77492,1.77474,1.77478,0,0
1520824200,1.77478,1.77478,1.7747,1.77472,0,0
1520824500,1.77472,1.77476,1.77454,1.77466,0,0
1520824800,1.77466,1.77476,1.7746,1.7746,0,0
1520825100,1.7746,1.77468,1.77433,1.77464,0,0
1520825400,1.77464,1.77469,1.77441,1.7745,0,0
1520825700,1.7745,1.77468,1.77435,1.77462,0,0
1520826000,1.77462,1.77468,1.77446,1.77456,0,0
1520826300,1.77456,1.7747,1.77452,1.77452,0,0
1520826600,1.77452,1.77462,1.77449,1.77462,0,0
1520826900,1.77462,1.775,1.77449,1.77482,0,0
1520827200,1.77482,1.77494,1.77471,1.77476,0,0
1520827500,1.77476,1.77487,1.7747,1.77483,0,0
1520827800,1.77483,1.77487,1.77472,1.77472,0,0
1520828100,1.77472,1.77485,1.77463,1.7748,0,0
1520828400,1.7748,1.77491,1.77468,1.77486,0,0
1520828700,1.77486,1.77491,1.77443,1.77454,0,0
1520829000,1.77454,1.77492,1.77454,1.77482,0,0
1520829300,1.77482,1.77502,1.77464,1.77484,0,0
1520829600,1.77484,1.77502,1.77479,1.77491,0,0
1520829900,1.77491,1.77493,1.77473,1.77482,0,0
1520830200,1.77482,1.77498,1.7747,1.77486,0,0
1520830500,1.77486,1.77496,1.77483,1.77494,0,0
1520830800,1.77494,1.77498,1.7748,1.77484,0,0
1520831100,1.77484,1.77486,1.77442,1.77458,0,0
1520831400,1.77458,1.77466,1.7743,1.77448,0,0
1520831700,1.77448,1.77464,1.77436,1.77448,0,0
1520832000,1.77448,1.77466,1.77446,1.7746,0,0
1520832300,1.7746,1.77476,1.77454,1.77473,0,0
1520832600,1.77473,1.77486,1.77468,1.77482,0,0
1520832900,1.77482,1.77494,1.77466,1.77485,0,0
1520833200,1.77485,1.77486,1.77466,1.77484,0,0
1520833500,1.77484,1.77502,1.77482,1.77502,0,0
1520833800,1.77502,1.77519,1.77496,1.77519,0,0
1520834100,1.77519,1.77532,1.77514,1.7753,0,0
1520834400,1.7753,1.77531,1.77498,1.77499,0,0
1520834700,1.77499,1.77514,1.77492,1.775,0,0
1520835000,1.775,1.77516,1.77496,1.7751,0,0
1520835300,1.7751,1.77518,1.77474,1.77489,0,0
1520835600,1.77489,1.7751,1.77488,1.77494,0,0
1520835900,1.77494,1.77498,1.77476,1.77484,0,0
1520836200,1.77484,1.77492,1.77469,1.77485,0,0
1520836500,1.77485,1.77492,1.77472,1.77488,0,0
1520836800,1.77488,1.77564,1.77483,1.7756,0,0
1520837100,1.7756,1.77572,1.77526,1.77538,0,0
1520837400,1.77538,1.7755,1.77515,1.77518,0,0
1520837700,1.77518,1.77588,1.77511,1.77588,0,0
1520838000,1.77588,1.77589,1.77506,1.77518,0,0
1520838300,1.77518,1.77558,1.7748,1.77556,0,0
1520838600,1.77556,1.77614,1.77556,1.77605,0,0
1520838900,1.77605,1.77642,1.77587,1.77642,0,0
1520839200,1.77642,1.77642,1.7754,1.77592,0,0
1520839500,1.77592,1.77626,1.77576,1.7758,0,0
1520839800,1.7758,1.77604,1.77558,1.776,0,0
1520840100,1.776,1.77694,1.7758,1.77674,0,0
1520840400,1.77674,1.77741,1.77665,1.7768,0,0
1520840700,1.7768,1.77742,1.77662,1.77725,0,0
1520841000,1.77725,1.7774,1.777,1.77712,0,0
1520841300,1.77712,1.77727,1.77686,1.77706,0,0
1520841600,1.77706,1.77721,1.7766,1.77696,0,0
1520841900,1.77696,1.77795,1.7769,1.7774,0,0
1520842200,1.7774,1.77803,1.77704,1.77716,0,0
1520842500,1.77716,1.77764,1.7769,1.77763,0,0
1520842800,1.77763,1.77796,1.77738,1.77782,0,0
1520843100,1.77782,1.77844,1.77768,1.77806,0,0
1520843400,1.77806,1.77855,1.7779,1.77836,0,0
1520843700,1.77836,1.77843,1.77802,1.77834,0,0
1520844000,1.77834,1.77878,1.77827,1.77837,0,0
