time,open,high,low,close,"Pattern Alert",Volume
1541097000,1.30222,1.30489,1.30212,1.30312,0,0
1541097300,1.30312,1.30349,1.30275,1.3033,0,0
1541097600,1.3033,1.30399,1.30328,1.30399,0,0
1541097900,1.30399,1.30408,1.30381,1.304,0,0
1541098200,1.304,1.3043,1.30381,1.30421,0,0
1541098500,1.30421,1.30449,1.30399,1.30408,0,0
1541098800,1.30408,1.30453,1.30398,1.30451,0,0
1541099100,1.30451,1.30485,1.30443,1.30445,0,0
1541099400,1.30445,1.30446,1.30426,1.30437,0,0
1541099700,1.30437,1.30438,1.30406,1.30422,0,0
1541100000,1.30422,1.30444,1.30416,1.30444,0,0
1541100300,1.30444,1.3045,1.30431,1.30439,0,0
1541100600,1.30439,1.3044,1.3041,1.30417,0,0
1541100900,1.30417,1.3042,1.30388,1.30397,0,0
1541101200,1.30397,1.30411,1.30392,1.30408,0,0
1541101500,1.30408,1.30417,1.30406,1.30417,0,0
1541101800,1.30417,1.30428,1.30396,1.30406,0,0
1541102100,1.30406,1.30411,1.30356,1.30369,0,0
1541102400,1.30369,1.30381,1.30325,1.30339,0,0
1541102700,1.30339,1.30339,1.30265,1.30268,0,0
1541103000,1.30268,1.30284,1.30246,1.30252,0,0
1541103300,1.30252,1.30292,1.30252,1.30291,0,0
1541103600,1.30291,1.30293,1.30273,1.30275,0,0
1541103900,1.30275,1.30308,1.30274,1.30308,0,0
1541104200,1.30308,1.30309,1.30295,1.303,0,0
1541104500,1.303,1.30359,1.303,1.30343,0,0
1541104800,1.30343,1.3035,1.30331,1.30331,0,0
1541105100,1.30331,1.30348,1.30265,1.30265,0,0
1541105400,1.30265,1.30272,1.30245,1.30247,0,0
1541105700,1.30247,1.30264,1.30227,1.30246,0,0
1541106000,1.30246,1.30257,1.30226,1.30238,0,0
1541106300,1.30238,1.30307,1.30237,1.30299,0,0
1541106600,1.30299,1.30332,1.30179,1.30288,0,0
1541106900,1.30288,1.30289,1.30248,1.30255,0,0
1541107200,1.30255,1.303,1.30119,1.30232,0,0
1541107500,1.30232,1.30258,1.30122,1.3015,0,0
1541107800,1.3015,1.30234,1.30137,1.30167,0,0
1541108100,1.30167,1.3026,1.30163,1.30214,0,0
1541108400,1.30214,1.30239,1.30179,1.30239,0,0
1541108700,1.30239,1.30286,1.30185,1.30218,0,0
1541109000,1.30218,1.30276,1.30216,1.30254,0,0
1541109300,1.30254,1.30268,1.30232,1.30232,0,0
1541109600,1.30232,1.3028,1.3023,1.3026,0,0
1541109900,1.3026,1.30266,1.30232,1.30243,0,0
1541110200,1.30243,1.30257,1.30231,1.30239,0,0
1541110500,1.30239,1.30255,1.30207,1.30238,0,0
1541110800,1.30238,1.30261,1.30237,1.3024,0,0
1541111100,1.3024,1.30277,1.30219,1.30221,0,0
1541111400,1.30221,1.30254,1.3018,1.30236,0,0
1541111700,1.30236,1.30261,1.302,1.30208,0,0
1541112000,1.30208,1.30229,1.30195,1.30229,0,0
1541112300,1.30229,1.30294,1.30225,1.30261,0,0
1541112600,1.30261,1.30278,1.30247,1.30259,0,0
1541112900,1.30259,1.30261,1.30247,1.3026,0,0
1541113200,1.3026,1.30266,1.30254,1.30255,0,0
1541113500,1.30255,1.30275,1.30254,1.30274,0,0
1541113800,1.30274,1.30287,1.30266,1.30271,0,0
1541114100,1.30271,1.30271,1.30254,1.30266,0,0
1541114400,1.30266,1.30285,1.30266,1.30281,0,0
1541114700,1.30281,1.30284,1.30258,1.30268,0,0
1541115000,1.30268,1.30277,1.30267,1.30271,0,0
1541115300,1.30271,1.30273,1.30246,1.30255,0,0
1541115600,1.30255,1.30259,1.30248,1.30259,0,0
1541115900,1.30259,1.30282,1.30251,1.30281,0,0
1541116200,1.30281,1.30308,1.3028,1.30306,0,0
1541116500,1.30306,1.30323,1.30298,1.30299,0,0
1541116800,1.30299,1.303,1.3026,1.30288,0,0
1541117100,1.30288,1.30307,1.30281,1.30283,0,0
1541117400,1.30283,1.30307,1.30281,1.30286,0,0
1541117700,1.30286,1.30302,1.30278,1.30298,0,0
1541118000,1.30298,1.30299,1.30255,1.30279,0,0
1541118300,1.30279,1.30279,1.30249,1.30254,0,0
1541118600,1.30254,1.30281,1.3025,1.30271,0,0
1541118900,1.30271,1.30275,1.30254,1.30265,0,0
1541119200,1.30265,1.30273,1.3025,1.3026,0,0
1541119500,1.3026,1.30263,1.30248,1.30254,0,0
1541119800,1.30254,1.30267,1.3025,1.30256,0,0
1541120100,1.30256,1.30266,1.30235,1.3024,0,0
1541120400,1.3024,1.30257,1.3024,1.30253,0,0
1541120700,1.30253,1.30264,1.30252,1.30257,0,0
1541121000,1.30257,1.30258,1.30214,1.30214,0,0
1541121300,1.30214,1.30248,1.30198,1.30206,0,0
1541121600,1.30206,1.30222,1.30197,1.30212,0,0
1541121900,1.30212,1.30233,1.3021,1.30225,0,0
1541122200,1.30225,1.30234,1.30195,1.30197,0,0
1541122500,1.30197,1.30206,1.30186,1.30196,0,0
1541122800,1.30196,1.30212,1.30191,1.30194,0,0
1541123100,1.30194,1.30195,1.30163,1.30163,0,0
1541123400,1.30163,1.30187,1.30162,1.30187,0,0
1541123700,1.30187,1.30199,1.3018,1.30184,0,0
1541124000,1.30184,1.30194,1.30168,1.30168,0,0
1541124300,1.30168,1.30168,1.30154,1.30155,0,0
1541124600,1.30155,1.30175,1.30155,1.30175,0,0
1541124900,1.30175,1.30196,1.30173,1.30193,0,0
1541125200,1.30193,1.30196,1.30174,1.30187,0,0
1541125500,1.30187,1.30199,1.30176,1.30176,0,0
1541125800,1.30176,1.30182,1.30166,1.30166,0,0
1541126100,1.30166,1.30173,1.30148,1.30157,0,0
1541126400,1.30157,1.30164,1.30146,1.30148,0,0
1541126700,1.30148,1.30158,1.30146,1.30148,0,0
1541127000,1.30148,1.30155,1.30148,1.30155,0,0
1541127300,1.30155,1.30159,1.3015,1.30155,0,0
1541127600,1.30155,1.30163,1.30146,1.3015,0,0
1541127900,1.3015,1.30157,1.30149,1.30152,0,0
1541128200,1.30152,1.30157,1.3015,1.30151,0,0
1541128500,1.30151,1.30168,1.30151,1.30153,0,0
1541128800,1.30153,1.30162,1.30148,1.30157,0,0
1541129100,1.30157,1.30159,1.30147,1.30147,0,0
1541129400,1.30147,1.30156,1.30145,1.30145,0,0
1541129700,1.30145,1.30146,1.30138,1.30142,0,0
1541130000,1.30142,1.30147,1.30138,1.30146,0,0
1541130300,1.30146,1.30165,1.30141,1.30142,0,0
1541130600,1.30142,1.30143,1.30123,1.30131,0,0
1541130900,1.30131,1.30143,1.30127,1.30131,0,0
1541131200,1.30131,1.30133,1.30117,1.30118,0,0
1541131500,1.30118,1.30118,1.30088,1.30091,0,0
1541131800,1.30091,1.30092,1.30079,1.30087,0,0
