time,open,high,low,close,"Pattern Alert",Volume
1528137000,146.132,146.137,146.1,146.1,0,0
1528137300,146.1,146.132,146.088,146.125,0,0
1528137600,146.125,146.131,146.076,146.081,0,0
1528137900,146.081,146.107,146.081,146.107,0,0
1528138200,146.107,146.126,146.106,146.126,0,0
1528138500,146.126,146.134,146.106,146.118,0,0
1528138800,146.118,146.118,146.073,146.117,0,0
1528139100,146.117,146.117,146.042,146.056,0,0
1528139400,146.056,146.073,146.054,146.06,0,0
1528139700,146.06,146.097,146.06,146.092,0,0
1528140000,146.092,146.107,146.071,146.09,0,0
1528140300,146.09,146.099,146.081,146.097,0,0
1528140600,146.097,146.127,146.096,146.124,0,0
1528140900,146.124,146.136,146.109,146.135,0,0
1528141200,146.135,146.183,146.132,146.183,0,0
1528141500,146.183,146.209,146.158,146.209,0,0
1528141800,146.209,146.233,146.207,146.21,0,0
1528142100,146.21,146.226,146.194,146.212,0,0
1528142400,146.212,146.233,146.198,146.21,0,0
1528142700,146.21,146.212,146.188,146.208,0,0
1528143000,146.208,146.237,146.206,146.228,0,0
1528143300,146.228,146.238,146.205,146.21,0,0
1528143600,146.21,146.214,146.188,146.193,0,0
1528143900,146.193,146.196,146.168,146.179,0,0
1528144200,146.179,146.181,146.171,146.174,0,0
1528144500,146.174,146.189,146.173,146.185,0,0
1528144800,146.185,146.197,146.182,146.185,0,0
1528145100,146.185,146.206,146.18,146.18,0,0
1528145400,146.18,146.182,146.166,146.166,0,0
1528145700,146.166,146.18,146.165,146.171,0,0
1528146000,146.171,146.187,146.134,146.186,0,0
1528146300,146.186,146.201,146.176,146.199,0,0
1528146600,146.199,146.202,146.168,146.171,0,0
1528146900,146.171,146.177,146.144,146.16,0,0
1528147200,146.16,146.169,146.148,146.166,0,0
1528147500,146.166,146.183,146.164,146.171,0,0
1528147800,146.171,146.176,146.171,146.172,0,0
1528148100,146.172,146.174,146.169,146.173,0,0
1528148400,146.173,146.192,146.163,146.189,0,0
1528148700,146.189,146.206,146.172,146.176,0,0
1528149000,146.176,146.199,146.171,146.196,0,0
1528149300,146.196,146.198,146.187,146.198,0,0
1528149600,146.198,146.219,146.195,146.208,0,0
1528149900,146.208,146.229,146.2065,146.212,0,0
1528150200,146.212,146.226,146.21,146.224,0,0
1528150500,146.224,146.242,146.209,146.229,0,0
1528150800,146.229,146.232,146.219,146.221,0,0
1528151100,146.221,146.257,146.218,146.255,0,0
1528151400,146.255,146.324,146.236,146.316,0,0
1528151700,146.316,146.321,146.279,146.281,0,0
1528152000,146.281,146.281,146.259,146.267,0,0
1528152300,146.267,146.281,146.264,146.269,0,0
1528152600,146.269,146.287,146.266,146.28,0,0
1528152900,146.28,146.33,146.276,146.321,0,0
1528153200,146.321,146.341,146.314,146.337,0,0
1528153500,146.337,146.355,146.328,146.349,0,0
1528153800,146.349,146.37,146.342,146.368,0,0
1528154100,146.368,146.382,146.357,146.377,0,0
1528154400,146.377,146.384,146.331,146.333,0,0
1528154700,146.333,146.364,146.332,146.357,0,0
1528155000,146.357,146.357,146.307,146.318,0,0
1528155300,146.318,146.348,146.306,146.347,0,0
1528155600,146.347,146.377,146.343,146.371,0,0
1528155900,146.371,146.396,146.367,146.39,0,0
1528156200,146.39,146.454,146.388,146.427,0,0
1528156500,146.427,146.438,146.413,146.423,0,0
1528156800,146.423,146.468,146.386,146.402,0,0
1528157100,146.402,146.42,146.325,146.329,0,0
1528157400,146.329,146.337,146.279,146.284,0,0
1528157700,146.284,146.318,146.265,146.274,0,0
1528158000,146.274,146.346,146.267,146.305,0,0
1528158300,146.305,146.317,146.28,146.291,0,0
1528158600,146.291,146.292,146.209,146.219,0,0
1528158900,146.219,146.289,146.207,146.28,0,0
1528159200,146.28,146.293,146.234,146.238,0,0
1528159500,146.238,146.32,146.233,146.263,0,0
1528159800,146.263,146.288,146.242,146.278,0,0
1528160100,146.278,146.325,146.278,146.293,0,0
1528160400,146.293,146.35,146.281,146.331,0,0
1528160700,146.331,146.344,146.284,146.31,0,0
1528161000,146.31,146.31,146.268,146.278,0,0
1528161300,146.278,146.287,146.15,146.155,0,0
1528161600,146.155,146.247,146.155,146.236,0,0
1528161900,146.236,146.266,146.231,146.257,0,0
1528162200,146.257,146.275,146.207,146.26,0,0
1528162500,146.26,146.324,146.241,146.323,0,0
1528162800,146.323,146.356,146.323,146.339,0,0
1528163100,146.339,146.355,146.283,146.321,0,0
1528163400,146.321,146.356,146.316,146.327,0,0
1528163700,146.327,146.327,146.281,146.298,0,0
1528164000,146.298,146.299,146.219,146.239,0,0
1528164300,146.239,146.259,146.229,146.239,0,0
1528164600,146.239,146.239,146.194,146.203,0,0
1528164900,146.203,146.216,146.034,146.114,0,0
1528165200,146.114,146.161,146.108,146.16,0,0
1528165500,146.16,146.182,146.13,146.17,0,0
1528165800,146.17,146.171,146.151,146.159,0,0
1528166100,146.159,146.194,146.156,146.184,0,0
1528166400,146.184,146.19,146.151,146.152,0,0
1528166700,146.152,146.216,146.151,146.214,0,0
1528167000,146.214,146.214,146.186,146.189,0,0
1528167300,146.189,146.228,146.178,146.223,0,0
1528167600,146.223,146.245,146.211,146.234,0,0
1528167900,146.234,146.236,146.204,146.21,0,0
1528168200,146.21,146.222,146.18,146.203,0,0
1528168500,146.203,146.22,146.19,146.22,0,0
1528168800,146.22,146.241,146.217,146.232,0,0
1528169100,146.232,146.247,146.22,146.246,0,0
1528169400,146.246,146.258,146.23,146.254,0,0
1528169700,146.254,146.262,146.239,146.261,0,0
1528170000,146.261,146.265,146.245,146.246,0,0
1528170300,146.246,146.266,146.24,146.241,0,0
1528170600,146.241,146.271,146.233,146.258,0,0
1528170900,146.258,146.263,146.237,146.245,0,0
1528171200,146.245,146.259,146.189,146.204,0,0
1528171500,146.204,146.22,146.188,146.201,0,0
1528171800,146.201,146.225,146.199,146.203,0,0
1528172100,146.203,146.255,146.175,146.227,0,0
1528172400,146.227,146.227,146.2,146.205,0,0
1528172700,146.205,146.23,146.205,146.221,0,0
1528173000,146.221,146.252,146.206,146.23,0,0
1528173300,146.23,146.237,146.206,146.235,0,0
1528173600,146.235,146.298,146.235,146.266,0,0
1528173900,146.266,146.355,146.261,146.332,0,0
1528174200,146.332,146.336,146.305,146.325,0,0
1528174500,146.325,146.377,146.319,146.324,0,0
1528174800,146.324,146.357,146.318,146.336,0,0
1528175100,146.336,146.336,146.29,146.313,0,0
1528175400,146.313,146.313,146.243,146.258,0,0
1528175700,146.258,146.273,146.22,146.253,0,0
1528176000,146.253,146.257,146.208,146.255,0,0
1528176300,146.255,146.281,146.24,146.269,0,0
1528176600,146.269,146.367,146.269,146.312,0,0
1528176900,146.312,146.312,146.268,146.279,0,0
1528177200,146.279,146.313,146.237,146.24,0,0
1528177500,146.24,146.295,146.224,146.293,0,0
1528177800,146.293,146.301,146.249,146.266,0,0
1528178100,146.266,146.284,146.235,146.266,0,0
1528178400,146.266,146.299,146.242,146.284,0,0
1528178700,146.284,146.319,146.249,146.27,0,0
1528179000,146.27,146.328,146.27,146.309,0,0
1528179300,146.309,146.363,146.308,146.349,0,0
1528179600,146.349,146.349,146.22,146.224,0,0
1528179900,146.224,146.295,146.224,146.295,0,0
1528180200,146.295,146.31,146.224,146.227,0,0
1528180500,146.227,146.268,146.205,146.256,0,0
1528180800,146.256,146.294,146.238,146.261,0,0
1528181100,146.261,146.295,146.26,146.293,0,0
1528181400,146.293,146.314,146.277,146.309,0,0
1528181700,146.309,146.342,146.285,146.323,0,0
1528182000,146.323,146.343,146.204,146.207,0,0
1528182300,146.207,146.35,146.199,146.342,0,0
1528182600,146.342,146.37,146.276,146.295,0,0
1528182900,146.295,146.296,146.141,146.254,0,0
1528183200,146.254,146.255,146.158,146.18,0,0
1528183500,146.18,146.294,146.171,146.229,0,0
1528183800,146.229,146.294,146.229,146.279,0,0
1528184100,146.279,146.338,146.275,146.326,0,0
1528184400,146.326,146.333,146.288,146.313,0,0
1528184700,146.313,146.358,146.274,146.301,0,0
1528185000,146.301,146.375,146.301,146.357,0,0
1528185300,146.357,146.358,146.264,146.303,0,0
1528185600,146.303,146.332,146.245,146.254,0,0
1528185900,146.254,146.315,146.249,146.315,0,0
1528186200,146.315,146.441,146.286,146.32,0,0
1528186500,146.32,146.412,146.298,146.396,0,0
1528186800,146.396,146.44,146.38,146.388,0,0
1528187100,146.388,146.441,146.362,146.424,0,0
1528187400,146.424,146.738,146.424,146.738,0,0
1528187700,146.738,146.907,146.703,146.896,0,0
1528188000,146.896,146.896,146.764,146.786,0,0
1528188300,146.786,146.876,146.765,146.801,0,0
1528188600,146.801,146.889,146.792,146.839,0,0
1528188900,146.839,146.867,146.76,146.775,0,0
1528189200,146.775,146.9,146.775,146.842,0,0
1528189500,146.842,146.864,146.809,146.84,0,0
1528189800,146.84,146.885,146.798,146.875,0,0
1528190100,146.875,146.907,146.827,146.844,0,0
1528190400,146.844,146.852,146.773,146.799,0,0
1528190700,146.799,146.825,146.776,146.779,0,0
1528191000,146.779,146.823,146.765,146.788,0,0
1528191300,146.788,146.97,146.779,146.922,0,0
1528191600,146.922,146.923,146.832,146.86,0,0
1528191900,146.86,146.908,146.844,146.905,0,0
1528192200,146.905,146.922,146.883,146.906,0,0
1528192500,146.906,146.907,146.845,146.854,0,0
1528192800,146.854,146.895,146.825,146.86,0,0
1528193100,146.86,146.88,146.793,146.814,0,0
1528193400,146.814,146.858,146.792,146.854,0,0
1528193700,146.854,146.897,146.825,146.897,0,0
1528194000,146.897,146.921,146.827,146.869,0,0
1528194300,146.869,146.946,146.836,146.9,0,0
1528194600,146.9,146.905,146.779,146.809,0,0
1528194900,146.809,146.856,146.799,146.807,0,0
1528195200,146.807,146.836,146.767,146.817,0,0
1528195500,146.817,146.835,146.702,146.704,0,0
1528195800,146.704,146.753,146.666,146.666,0,0
1528196100,146.666,146.688,146.611,146.679,0,0
1528196400,146.679,146.76,146.674,146.758,0,0
1528196700,146.758,146.761,146.715,146.728,0,0
1528197000,146.728,146.757,146.715,146.73,0,0
1528197300,146.73,146.767,146.701,146.729,0,0
1528197600,146.729,146.731,146.647,146.679,0,0
1528197900,146.679,146.68,146.582,146.641,0,0
1528198200,146.641,146.648,146.549,146.559,0,0
1528198500,146.559,146.62,146.559,146.602,0,0
1528198800,146.602,146.649,146.588,146.63,0,0
1528199100,146.63,146.631,146.6,146.626,0,0
1528199400,146.626,146.63,146.554,146.609,0,0
1528199700,146.609,146.627,146.576,146.6,0,0
1528200000,146.6,146.671,146.587,146.642,0,0
1528200300,146.642,146.73,146.642,146.653,0,0
1528200600,146.653,146.654,146.524,146.546,0,0
1528200900,146.546,146.549,146.467,146.48,0,0
1528201200,146.48,146.499,146.407,146.434,0,0
1528201500,146.434,146.454,146.362,146.448,0,0
1528201800,146.448,146.479,146.384,146.46,0,0
1528202100,146.46,146.531,146.416,146.513,0,0
1528202400,146.513,146.573,146.498,146.546,0,0
1528202700,146.546,146.64,146.532,146.633,0,0
1528203000,146.633,146.649,146.598,146.626,0,0
1528203300,146.626,146.713,146.626,146.653,1,0
1528203600,146.653,146.659,146.447,146.492,0,0
1528203900,146.492,146.567,146.492,146.537,0,0
1528204200,146.537,146.705,146.526,146.674,0,0
1528204500,146.674,146.681,146.604,146.626,0,0
1528204800,146.626,146.66,146.579,146.601,0,0
