time,open,high,low,close,"Pattern Alert",Volume
1534789800,1.27853,1.27862,1.2785,1.27852,0,0
1534790100,1.27852,1.27903,1.27851,1.27899,0,0
1534790400,1.27899,1.27899,1.27871,1.27871,0,0
1534790700,1.27871,1.27874,1.2785,1.27861,0,0
1534791000,1.27861,1.27863,1.2785,1.27855,0,0
1534791300,1.27855,1.27862,1.27841,1.27846,0,0
1534791600,1.27846,1.27861,1.27844,1.27853,0,0
1534791900,1.27853,1.27856,1.27841,1.27848,0,0
1534792200,1.27848,1.27862,1.27847,1.27853,0,0
1534792500,1.27853,1.27861,1.27852,1.27852,0,0
1534792800,1.27852,1.2786,1.27852,1.27853,0,0
1534793100,1.27853,1.2786,1.27851,1.27852,0,0
1534793400,1.27852,1.27862,1.27835,1.27839,0,0
1534793700,1.27839,1.27844,1.27831,1.27842,0,0
1534794000,1.27842,1.27844,1.27814,1.27821,0,0
1534794300,1.27821,1.27822,1.27814,1.27818,0,0
1534794600,1.27818,1.27842,1.27818,1.27836,0,0
1534794900,1.27836,1.27891,1.27836,1.27867,0,0
1534795200,1.27867,1.27876,1.27867,1.27873,0,0
1534795500,1.27873,1.27944,1.27872,1.27906,0,0
1534795800,1.27906,1.27922,1.27901,1.2791,0,0
1534796100,1.2791,1.27912,1.27891,1.27909,0,0
1534796400,1.27909,1.27922,1.279,1.27922,0,0
1534796700,1.27922,1.27972,1.27921,1.2794,0,0
1534797000,1.2794,1.27942,1.27892,1.27909,0,0
1534797300,1.27909,1.2797,1.27909,1.2797,0,0
1534797600,1.2797,1.27992,1.27964,1.27992,0,0
1534797900,1.27992,1.27992,1.27955,1.2796,0,0
1534798200,1.2796,1.27962,1.2795,1.2796,0,0
1534798500,1.2796,1.2796,1.27949,1.27952,0,0
1534798800,1.27952,1.27954,1.27926,1.27939,0,0
1534799100,1.27939,1.27965,1.27936,1.2796,0,0
1534799400,1.2796,1.27963,1.27943,1.27946,0,0
1534799700,1.27946,1.27959,1.27946,1.27955,0,0
1534800000,1.27955,1.27958,1.27946,1.27952,0,0
1534800300,1.27952,1.27974,1.27951,1.27972,0,0
1534800600,1.27972,1.27978,1.27965,1.27965,0,0
1534800900,1.27965,1.27969,1.2794,1.27941,0,0
1534801200,1.27941,1.27961,1.27937,1.27956,0,0
1534801500,1.27956,1.27971,1.27956,1.27963,0,0
1534801800,1.27963,1.2797,1.27951,1.27952,0,0
1534802100,1.27952,1.27964,1.27952,1.27963,0,0
1534802400,1.27963,1.27978,1.27959,1.27978,0,0
1534802700,1.27978,1.27982,1.27972,1.27974,0,0
1534803000,1.27974,1.27977,1.27966,1.27968,0,0
1534803300,1.27968,1.27968,1.27951,1.27954,0,0
1534803600,1.27954,1.27967,1.27953,1.27967,0,0
1534803900,1.27967,1.27968,1.27951,1.27951,0,0
1534804200,1.27951,1.27953,1.27935,1.27946,0,0
1534804500,1.27946,1.27972,1.27945,1.27972,0,0
1534804800,1.27972,1.27976,1.27971,1.27973,0,0
1534805100,1.27973,1.27991,1.27973,1.27985,0,0
1534805400,1.27985,1.28006,1.27985,1.27997,0,0
1534805700,1.27997,1.28008,1.27992,1.28008,0,0
1534806000,1.28008,1.28008,1.27957,1.27964,0,0
1534806300,1.27964,1.27976,1.27963,1.27966,0,0
1534806600,1.27966,1.28006,1.27966,1.28005,0,0
1534806900,1.28005,1.28006,1.27975,1.27975,0,0
1534807200,1.27975,1.27977,1.27953,1.27963,0,0
