time,open,high,low,close,"Pattern Alert",Volume
1533234600,1.30152,1.30184,1.3014,1.30184,0,0
1533234900,1.30184,1.3022,1.30175,1.30196,0,0
1533235200,1.30196,1.30236,1.3019,1.30216,0,0
1533235500,1.30216,1.30236,1.30197,1.30215,0,0
1533235800,1.30215,1.30236,1.30215,1.3022,0,0
1533236100,1.3022,1.30261,1.30219,1.30235,0,0
1533236400,1.30235,1.30271,1.30228,1.3026,0,0
1533236700,1.3026,1.30277,1.30227,1.30227,0,0
1533237000,1.30227,1.30236,1.30202,1.30202,0,0
1533237300,1.30202,1.30209,1.30182,1.30183,0,0
1533237600,1.30183,1.30193,1.30176,1.30191,0,0
1533237900,1.30191,1.30194,1.30157,1.30159,0,0
1533238200,1.30159,1.3016,1.30126,1.30135,0,0
1533238500,1.30135,1.30151,1.30132,1.30142,0,0
1533238800,1.30142,1.3015,1.30129,1.3013,0,0
1533239100,1.3013,1.30137,1.30122,1.30124,0,0
1533239400,1.30124,1.30149,1.30109,1.30147,0,0
1533239700,1.30147,1.30176,1.30146,1.3016,0,0
1533240000,1.3016,1.3019,1.30155,1.30159,0,0
1533240300,1.30159,1.30179,1.30156,1.30168,0,0
1533240600,1.30168,1.30202,1.30167,1.30199,0,0
1533240900,1.30199,1.30202,1.30187,1.30191,0,0
1533241200,1.30191,1.30226,1.30189,1.30222,0,0
1533241500,1.30222,1.3024,1.30219,1.30221,0,0
1533241800,1.30221,1.30242,1.30221,1.30242,0,0
1533242100,1.30242,1.30244,1.30223,1.30231,0,0
1533242400,1.30231,1.30238,1.30226,1.30233,0,0
1533242700,1.30233,1.30237,1.30217,1.30227,0,0
1533243000,1.30227,1.30238,1.30212,1.30237,0,0
1533243300,1.30237,1.30248,1.30199,1.30211,0,0
1533243600,1.30211,1.30258,1.30183,1.30234,0,0
1533243900,1.30234,1.30251,1.30189,1.30224,0,0
1533244200,1.30224,1.30225,1.30197,1.30216,0,0
1533244500,1.30216,1.30237,1.30215,1.30234,0,0
1533244800,1.30234,1.30253,1.30221,1.30229,0,0
1533245100,1.30229,1.30234,1.30225,1.30228,0,0
1533245400,1.30228,1.30256,1.30224,1.30238,0,0
1533245700,1.30238,1.30243,1.30228,1.30238,0,0
1533246000,1.30238,1.30246,1.30231,1.30234,0,0
1533246300,1.30234,1.3024,1.30227,1.30228,0,0
1533246600,1.30228,1.30228,1.30219,1.30219,0,0
1533246900,1.30219,1.30224,1.30218,1.30221,0,0
1533247200,1.30221,1.30246,1.30221,1.3024,0,0
1533247500,1.3024,1.30242,1.30228,1.3024,0,0
1533247800,1.3024,1.30245,1.30237,1.30241,0,0
1533248100,1.30241,1.30244,1.30232,1.30238,0,0
1533248400,1.30238,1.30244,1.30232,1.30241,0,0
1533248700,1.30241,1.30243,1.3023,1.30236,0,0
1533249000,1.30236,1.30238,1.30228,1.30236,0,0
1533249300,1.30236,1.30238,1.30231,1.30236,0,0
1533249600,1.30236,1.30239,1.30228,1.30231,0,0
1533249900,1.30231,1.30238,1.30229,1.30232,0,0
1533250200,1.30232,1.30239,1.30218,1.3022,0,0
1533250500,1.3022,1.30221,1.3021,1.30211,0,0
1533250800,1.30211,1.3022,1.30197,1.30201,0,0
1533251100,1.30201,1.30203,1.30181,1.30182,0,0
1533251400,1.30182,1.30187,1.30159,1.30162,0,0
1533251700,1.30162,1.30176,1.30158,1.30167,0,0
1533252000,1.30167,1.30179,1.30165,1.30169,0,0
1533252300,1.30169,1.30178,1.30166,1.30167,0,0
1533252600,1.30167,1.30246,1.30166,1.30228,0,0
1533252900,1.30228,1.30253,1.30217,1.30249,0,0
1533253200,1.30249,1.30253,1.30241,1.30244,0,0
1533253500,1.30244,1.30251,1.30234,1.30234,0,0
1533253800,1.30234,1.30243,1.30233,1.30243,0,0
1533254100,1.30243,1.30245,1.3024,1.30244,0,0
1533254400,1.30244,1.30251,1.3024,1.30243,0,0
1533254700,1.30243,1.30248,1.30233,1.30243,0,0
1533255000,1.30243,1.30252,1.3023,1.30236,0,0
1533255300,1.30236,1.30254,1.30233,1.30236,0,0
1533255600,1.30236,1.30245,1.30232,1.30243,0,0
1533255900,1.30243,1.30245,1.30234,1.30237,0,0
1533256200,1.30237,1.3026,1.30237,1.30249,0,0
1533256500,1.30249,1.3025,1.30227,1.30229,0,0
1533256800,1.30229,1.3023,1.30218,1.30222,0,0
1533257100,1.30222,1.30222,1.30197,1.30203,0,0
1533257400,1.30203,1.30207,1.30191,1.30195,0,0
1533257700,1.30195,1.30196,1.30185,1.30186,0,0
1533258000,1.30186,1.302,1.30183,1.30194,0,0
1533258300,1.30194,1.30201,1.3018,1.30188,0,0
1533258600,1.30188,1.30197,1.30187,1.30194,0,0
1533258900,1.30194,1.30203,1.30186,1.30189,0,0
1533259200,1.30189,1.30194,1.3017,1.30176,0,0
1533259500,1.30176,1.30194,1.30145,1.3016,0,0
1533259800,1.3016,1.30173,1.30134,1.30171,0,0
1533260100,1.30171,1.30243,1.30167,1.30238,0,0
1533260400,1.30238,1.30262,1.30233,1.30253,0,0
1533260700,1.30253,1.30255,1.30204,1.30221,0,0
1533261000,1.30221,1.30231,1.30206,1.3023,0,0
1533261300,1.3023,1.30237,1.3021,1.30212,0,0
1533261600,1.30212,1.30234,1.3021,1.30215,0,0
1533261900,1.30215,1.3023,1.30212,1.30218,0,0
1533262200,1.30218,1.30238,1.30204,1.30207,0,0
1533262500,1.30207,1.30207,1.30177,1.30178,0,0
1533262800,1.30178,1.3018,1.30153,1.3016,0,0
1533263100,1.3016,1.30168,1.30152,1.30167,0,0
1533263400,1.30167,1.30175,1.3016,1.30162,0,0
1533263700,1.30162,1.30178,1.3016,1.30177,0,0
1533264000,1.30177,1.30178,1.30153,1.30153,0,0
1533264300,1.30153,1.30166,1.30152,1.30158,0,0
1533264600,1.30158,1.30159,1.30139,1.30144,0,0
1533264900,1.30144,1.30147,1.30137,1.30137,0,0
1533265200,1.30137,1.30139,1.30126,1.30131,0,0
1533265500,1.30131,1.30144,1.30112,1.30136,0,0
1533265800,1.30136,1.30155,1.30113,1.30114,0,0
1533266100,1.30114,1.30114,1.30097,1.30104,0,0
1533266400,1.30104,1.30121,1.30102,1.30114,0,0
1533266700,1.30114,1.30119,1.30106,1.30111,0,0
1533267000,1.30111,1.30115,1.30104,1.30109,0,0
1533267300,1.30109,1.30121,1.30105,1.30106,0,0
1533267600,1.30106,1.30109,1.30101,1.30103,0,0
1533267900,1.30103,1.30104,1.30092,1.30095,0,0
1533268200,1.30095,1.30125,1.30093,1.30115,0,0
1533268500,1.30115,1.30115,1.30104,1.30105,0,0
1533268800,1.30105,1.30136,1.30105,1.30134,0,0
1533269100,1.30134,1.30134,1.30117,1.30119,0,0
1533269400,1.30119,1.30131,1.30111,1.30131,0,0
1533269700,1.30131,1.30137,1.30129,1.30133,0,0
1533270000,1.30133,1.3014,1.30128,1.30132,0,0
1533270300,1.30132,1.30138,1.3013,1.30138,0,0
1533270600,1.30138,1.30139,1.30131,1.30137,0,0
1533270900,1.30137,1.30139,1.30128,1.30128,0,0
1533271200,1.30128,1.30136,1.30126,1.30136,0,0
1533271500,1.30136,1.30138,1.30131,1.30137,0,0
1533271800,1.30137,1.30137,1.30125,1.30126,0,0
1533272100,1.30126,1.30128,1.30122,1.30125,0,0
1533272400,1.30125,1.3013,1.30114,1.30114,0,0
1533272700,1.30114,1.30122,1.30114,1.30118,0,0
1533273000,1.30118,1.30131,1.30115,1.30126,0,0
1533273300,1.30126,1.3013,1.30118,1.30119,0,0
1533273600,1.30119,1.30122,1.30112,1.30114,0,0
1533273900,1.30114,1.30124,1.30112,1.30123,0,0
1533274200,1.30123,1.30132,1.30122,1.30126,0,0
1533274500,1.30126,1.30132,1.30122,1.30129,0,0
1533274800,1.30129,1.30136,1.3012,1.30133,0,0
1533275100,1.30133,1.30148,1.30129,1.30146,0,0
1533275400,1.30146,1.30156,1.30145,1.3015,0,0
1533275700,1.3015,1.30157,1.30145,1.30154,0,0
1533276000,1.30154,1.30206,1.30153,1.30191,0,0
1533276300,1.30191,1.30202,1.30187,1.3019,0,0
1533276600,1.3019,1.30234,1.30189,1.30214,0,0
1533276900,1.30214,1.30234,1.30191,1.30206,0,0
1533277200,1.30206,1.30229,1.30204,1.30213,0,0
1533277500,1.30213,1.30245,1.30212,1.30239,0,0
1533277800,1.30239,1.30259,1.30213,1.30257,0,0
1533278100,1.30257,1.30288,1.30248,1.30288,0,0
1533278400,1.30288,1.30301,1.30255,1.30255,0,0
1533278700,1.30255,1.30279,1.30254,1.30263,0,0
1533279000,1.30263,1.30282,1.3026,1.30275,0,0
1533279300,1.30275,1.30296,1.30255,1.30263,0,0
1533279600,1.30263,1.30266,1.302,1.30202,0,0
1533279900,1.30202,1.30209,1.30173,1.30177,0,0
1533280200,1.30177,1.30194,1.30172,1.30194,0,0
1533280500,1.30194,1.30221,1.30187,1.30218,0,0
1533280800,1.30218,1.30258,1.30213,1.3025,0,0
1533281100,1.3025,1.30266,1.30211,1.30224,0,0
1533281400,1.30224,1.30239,1.30218,1.30231,0,0
1533281700,1.30231,1.30256,1.30221,1.30256,0,0
1533282000,1.30256,1.30292,1.30255,1.30281,0,0
1533282300,1.30281,1.30323,1.30281,1.30318,0,0
1533282600,1.30318,1.30338,1.30313,1.30315,0,0
1533282900,1.30315,1.30368,1.30313,1.3036,1,0
1533283200,1.3036,1.30379,1.3032,1.30322,0,0
1533283500,1.30322,1.30323,1.30292,1.30295,0,0
1533283800,1.30295,1.303,1.30256,1.30263,0,0
