time,open,high,low,close,"Pattern Alert",Volume
1545417000,0.9933,0.99374,0.99327,0.99327,0,0
1545417300,0.99327,0.99345,0.99323,0.99334,0,0
1545417600,0.99334,0.99369,0.99332,0.99366,0,0
1545417900,0.99366,0.99385,0.99359,0.99384,0,0
1545418200,0.99384,0.99386,0.99381,0.99382,0,0
1545418500,0.99382,0.99389,0.99381,0.99384,0,0
1545418800,0.99384,0.99385,0.99352,0.99364,0,0
1545419100,0.99364,0.9937,0.99353,0.9937,0,0
1545419400,0.9937,0.99375,0.99363,0.99372,0,0
1545419700,0.99372,0.9943,0.99371,0.99422,0,0
1545420000,0.99422,0.99444,0.99422,0.99441,0,0
1545420300,0.99441,0.99454,0.99436,0.99439,0,0
1545420600,0.99439,0.99439,0.99422,0.99432,0,0
1545420900,0.99432,0.99443,0.99426,0.99441,0,0
1545421200,0.99441,0.9949,0.99441,0.9949,0,0
1545421500,0.9949,0.99507,0.99487,0.99507,0,0
1545421800,0.99507,0.99507,0.99459,0.99469,0,0
1545422100,0.99469,0.99491,0.99463,0.99487,0,0
1545422400,0.99487,0.99566,0.99486,0.99551,0,0
1545422700,0.99551,0.99558,0.99543,0.99543,0,0
1545423000,0.99543,0.99543,0.99525,0.99525,0,0
1545423300,0.99525,0.99549,0.99524,0.99544,0,0
1545423600,0.99544,0.99552,0.99531,0.99546,0,0
1545423900,0.99546,0.99551,0.99519,0.99531,0,0
1545424200,0.99531,0.99548,0.99529,0.99542,0,0
1545424500,0.99542,0.99544,0.99494,0.99495,0,0
1545424800,0.99495,0.99505,0.99475,0.99504,0,0
1545425100,0.99504,0.99517,0.99499,0.99505,0,0
1545425400,0.99505,0.99517,0.99505,0.99516,0,0
1545425700,0.99516,0.99516,0.99496,0.99501,0,0
1545426000,0.99501,0.99537,0.99499,0.99518,0,0
1545426300,0.99518,0.99528,0.99509,0.99509,0,0
1545426600,0.99509,0.99517,0.99506,0.9951,0,0
1545426900,0.9951,0.99538,0.99508,0.99536,0,0
1545427200,0.99536,0.99543,0.99535,0.99542,0,0
1545427500,0.99542,0.99547,0.99527,0.99529,0,0
1545427800,0.99529,0.99543,0.99529,0.99542,0,0
1545428100,0.99542,0.99556,0.99536,0.99556,0,0
1545428400,0.99556,0.99559,0.99543,0.99547,0,0
1545428700,0.99547,0.99561,0.99545,0.99557,0,0
1545429000,0.99557,0.99567,0.99551,0.99554,0,0
1545429300,0.99554,0.99554,0.99521,0.99521,0,0
