time,open,high,low,close,"Pattern Alert",Volume
1516905000,108.55,108.554,108.502,108.537,0,0
1516905300,108.537,108.572,108.52,108.569,0,0
1516905600,108.569,108.605,108.55,108.589,0,0
1516905900,108.589,108.606,108.554,108.6,0,0
1516906200,108.6,108.611,108.55,108.56,0,0
1516906500,108.56,108.57,108.552,108.552,0,0
1516906800,108.552,109.086,108.534,108.998,0,0
1516907100,108.998,109.246,108.981,109.14,0,0
1516907400,109.14,109.162,108.978,108.982,0,0
1516907700,108.982,109.216,108.984,109.14,0,0
1516908000,109.14,109.414,109.128,109.392,0,0
1516908300,109.392,109.446,109.29,109.29,0,0
1516908600,109.29,109.442,109.278,109.438,0,0
1516908900,109.438,109.552,109.396,109.464,0,0
1516909200,109.464,109.67,109.462,109.626,0,0
1516909500,109.626,109.702,109.587,109.595,0,0
1516909800,109.595,109.63,109.555,109.576,0,0
1516910100,109.576,109.602,109.402,109.412,0,0
1516910400,109.412,109.436,109.392,109.392,0,0
1516910700,109.392,109.404,109.272,109.298,0,0
1516911000,109.298,109.324,109.288,109.288,0,0
1516911300,109.288,109.318,109.195,109.25,0,0
1516911600,109.25,109.27,109.2,109.246,0,0
1516911900,109.246,109.34,109.226,109.33,0,0
1516912200,109.33,109.408,109.316,109.359,0,0
1516912500,109.359,109.401,109.25,109.25,0,0
1516912800,109.25,109.258,109.212,109.234,0,0
1516913100,109.234,109.255,109.22,109.24,0,0
1516913400,109.24,109.26,109.221,109.254,0,0
1516913700,109.254,109.292,109.226,109.264,0,0
1516914000,109.264,109.265,109.202,109.207,0,0
1516914300,109.207,109.235,109.196,109.23,0,0
1516914600,109.23,109.27,109.223,109.223,0,0
1516914900,109.223,109.248,109.224,109.248,0,0
1516915200,109.248,109.286,109.249,109.284,0,0
1516915500,109.284,109.286,109.258,109.27,0,0
1516915800,109.27,109.398,109.271,109.398,0,0
1516916100,109.398,109.397,109.364,109.38,0,0
1516916400,109.38,109.464,109.38,109.406,0,0
1516916700,109.406,109.46,109.38,109.432,0,0
1516917000,109.432,109.445,109.398,109.424,0,0
1516917300,109.424,109.436,109.402,109.409,0,0
1516917600,109.409,109.436,109.409,109.422,0,0
1516917900,109.422,109.425,109.412,109.417,0,0
1516918200,109.417,109.456,109.411,109.45,0,0
1516918500,109.45,109.508,109.45,109.508,0,0
1516918800,109.508,109.57,109.503,109.568,0,0
1516919100,109.568,109.602,109.558,109.58,0,0
1516919400,109.58,109.596,109.569,109.578,0,0
1516919700,109.578,109.596,109.554,109.58,0,0
1516920000,109.58,109.594,109.561,109.592,0,0
1516920300,109.592,109.598,109.537,109.567,0,0
1516920600,109.567,109.63,109.562,109.627,0,0
1516920900,109.627,109.664,109.616,109.656,0,0
1516921200,109.656,109.664,109.602,109.602,0,0
